date,open,high,low,close,volume,money,open_interest,symbol
2018-01-02,3286.0,3286.0,3273.0,3273.0,10272.0,336581600.0,9074.0,B1805
2018-01-03,3266.0,3283.0,3250.0,3267.0,14126.0,464011800.0,16640.0,B1805
2018-01-04,3257.0,3280.0,3257.0,3268.0,20468.0,670240300.0,20446.0,B1805
2018-01-05,3274.0,3328.0,3252.0,3273.0,16082.0,527507700.0,19654.0,B1805
2018-01-08,3280.0,3284.0,3257.0,3268.0,12214.0,400040000.0,19204.0,B1805
2018-01-09,3278.0,3279.0,3251.0,3256.0,20160.0,659059300.0,16842.0,B1805
2018-01-10,3249.0,3264.0,3171.0,3185.0,16604.0,540132600.0,15016.0,B1805
2018-01-11,3204.0,3226.0,3190.0,3213.0,30464.0,977904400.0,17976.0,B1805
2018-01-12,3222.0,3224.0,3180.0,3190.0,26626.0,851290700.0,17076.0,B1805
2018-01-15,3187.0,3196.0,3105.0,3177.0,23452.0,744926900.0,16548.0,B1805
2018-01-16,3181.0,3185.0,3148.0,3152.0,15006.0,473609700.0,18630.0,B1805
2018-01-17,3149.0,3168.0,3147.0,3159.0,22382.0,707396300.0,20836.0,B1805
2018-01-18,3157.0,3215.0,3146.0,3172.0,35156.0,1111087100.0,21996.0,B1805
2018-01-19,3168.0,3208.0,3156.0,3189.0,27812.0,882197000.0,18942.0,B1805
2018-01-22,3176.0,3226.0,3176.0,3210.0,18642.0,596629700.0,20224.0,B1805
2018-01-23,3226.0,3303.0,3207.0,3275.0,14668.0,473777600.0,19062.0,B1805
2018-01-24,3267.0,3289.0,3243.0,3276.0,9198.0,299335300.0,17688.0,B1805
2018-01-25,3273.0,3301.0,3250.0,3280.0,17952.0,586661400.0,21204.0,B1805
2018-01-26,3271.0,3318.0,3264.0,3302.0,17340.0,568052000.0,20294.0,B1805
2018-01-29,3292.0,3305.0,3264.0,3291.0,16686.0,549188300.0,20796.0,B1805
2018-01-30,3292.0,3346.0,3291.0,3326.0,15230.0,503740700.0,19108.0,B1805
2018-01-31,3328.0,3439.0,3328.0,3396.0,9290.0,314860500.0,20060.0,B1805
2018-02-01,3396.0,3396.0,3321.0,3339.0,36478.0,1221394700.0,23180.0,B1805
2018-02-02,3334.0,3356.0,3308.0,3335.0,29044.0,966640900.0,22142.0,B1805
2018-02-05,3335.0,3335.0,3315.0,3316.0,13728.0,456259000.0,19592.0,B1805
2018-02-06,3301.0,3336.0,3298.0,3330.0,8758.0,291400600.0,17810.0,B1805
2018-02-07,3335.0,3409.0,3328.0,3381.0,17646.0,591145900.0,22662.0,B1805
2018-02-08,3309.0,3382.0,3282.0,3364.0,36892.0,1223989300.0,23216.0,B1809
2018-02-09,3376.0,3388.0,3360.0,3381.0,51570.0,1741717200.0,28630.0,B1805
2018-02-12,3372.0,3413.0,3366.0,3402.0,44006.0,1489250000.0,27850.0,B1805
2018-02-13,3412.0,3412.0,3356.0,3356.0,44758.0,1515426700.0,18198.0,B1805
2018-02-14,3386.0,3434.0,3369.0,3433.0,30974.0,1048022400.0,16028.0,B1809
2018-02-22,3450.0,3524.0,3442.0,3481.0,31366.0,1086776200.0,17098.0,B1809
2018-02-23,3490.0,3498.0,3378.0,3405.0,40104.0,1390663000.0,22148.0,B1809
2018-02-26,3408.0,3438.0,3386.0,3424.0,32034.0,1094353900.0,23398.0,B1809
2018-02-27,3434.0,3434.0,3392.0,3404.0,48260.0,1652102900.0,23390.0,B1809
2018-02-28,3407.0,3425.0,3396.0,3417.0,8136.0,278185600.0,23546.0,B1809
2018-03-01,3376.0,3464.0,3376.0,3405.0,39002.0,1325518100.0,26542.0,B1805
2018-03-02,3398.0,3426.0,3363.0,3363.0,60186.0,2049694100.0,35510.0,B1805
