date,open,high,low,close,volume,money,open_interest,symbol
2018-01-02,3850.0,3940.0,3842.0,3927.0,570750.0,22224285360.0,635234.0,HC1805
2018-01-03,3931.0,3934.0,3861.0,3864.0,500302.0,19508132100.0,632164.0,HC1805
2018-01-04,3857.0,3897.0,3845.0,3877.0,568448.0,21990867900.0,648052.0,HC1805
2018-01-05,3878.0,3878.0,3791.0,3842.0,869870.0,33335603120.0,711304.0,HC1805
2018-01-08,3839.0,3865.0,3770.0,3864.0,769662.0,29325674360.0,714236.0,HC1805
2018-01-09,3860.0,3894.0,3852.0,3862.0,595800.0,23056554160.0,681804.0,HC1805
2018-01-10,3860.0,3906.0,3830.0,3880.0,696268.0,26956322840.0,679090.0,HC1805
2018-01-11,3888.0,3908.0,3857.0,3874.0,516546.0,20067991420.0,655534.0,HC1805
2018-01-12,3877.0,3886.0,3814.0,3831.0,506008.0,19455200080.0,668280.0,HC1805
2018-01-15,3820.0,3848.0,3791.0,3837.0,429202.0,16420491560.0,660654.0,HC1805
2018-01-16,3836.0,3879.0,3820.0,3822.0,592030.0,22780005820.0,662994.0,HC1805
2018-01-17,3820.0,3865.0,3812.0,3843.0,629880.0,24190421000.0,662154.0,HC1805
2018-01-18,3837.0,3873.0,3829.0,3861.0,537790.0,20720071120.0,680280.0,HC1805
2018-01-19,3863.0,3928.0,3818.0,3923.0,932068.0,35971355520.0,691054.0,HC1805
2018-01-22,3923.0,3945.0,3883.0,3898.0,610550.0,23865103500.0,709654.0,HC1805
2018-01-23,3901.0,3920.0,3871.0,3903.0,644968.0,25139220380.0,685074.0,HC1805
2018-01-24,3903.0,3943.0,3883.0,3939.0,509920.0,19973866880.0,711894.0,HC1805
2018-01-25,3936.0,4009.0,3920.0,3973.0,702804.0,27845920080.0,698556.0,HC1805
2018-01-26,3970.0,3987.0,3936.0,3962.0,447618.0,17740571800.0,675822.0,HC1805
2018-01-29,3961.0,3977.0,3940.0,3964.0,311510.0,12338779220.0,674618.0,HC1805
2018-01-30,3970.0,3970.0,3913.0,3939.0,432572.0,17038435840.0,642366.0,HC1805
2018-01-31,3944.0,3994.0,3908.0,3934.0,424890.0,16706713840.0,620176.0,HC1805
2018-02-01,3940.0,4000.0,3935.0,3972.0,660720.0,26233252360.0,653874.0,HC1805
2018-02-02,3964.0,4041.0,3956.0,4033.0,836666.0,33569487580.0,752600.0,HC1805
2018-02-05,4033.0,4045.0,3992.0,4028.0,546466.0,21962562300.0,719200.0,HC1805
2018-02-06,4030.0,4050.0,3994.0,4010.0,537924.0,21618334000.0,668316.0,HC1805
2018-02-07,4017.0,4027.0,3982.0,4012.0,431298.0,17284878820.0,643280.0,HC1805
2018-02-08,4006.0,4040.0,4000.0,4027.0,461064.0,18535823860.0,656842.0,HC1805
2018-02-09,4031.0,4042.0,3949.0,3958.0,609574.0,24357165120.0,621172.0,HC1805
2018-02-12,3957.0,3985.0,3945.0,3973.0,322006.0,12766541040.0,594878.0,HC1805
2018-02-13,3965.0,4008.0,3958.0,3985.0,295748.0,11786423940.0,566246.0,HC1805
2018-02-14,3976.0,4002.0,3968.0,3984.0,254260.0,10130363860.0,545414.0,HC1805
2018-02-22,3978.0,4000.0,3906.0,3927.0,335892.0,13251939800.0,555952.0,HC1805
2018-02-23,3918.0,3983.0,3888.0,3972.0,669432.0,26301422920.0,573130.0,HC1805
2018-02-26,3982.0,4084.0,3970.0,4080.0,583884.0,23592156240.0,591630.0,HC1805
2018-02-27,4085.0,4102.0,4039.0,4099.0,448872.0,18268365720.0,620264.0,HC1805
2018-02-28,4089.0,4105.0,4071.0,4087.0,431470.0,17631752940.0,624326.0,HC1805
2018-03-01,4078.0,4124.0,4077.0,4094.0,426214.0,17459297980.0,635258.0,HC1805
2018-03-02,4082.0,4124.0,4065.0,4120.0,526900.0,21556724560.0,659956.0,HC1805
2018-03-05,4114.0,4115.0,4037.0,4047.0,618146.0,25169360900.0,577204.0,HC1805
2018-03-06,4046.0,4061.0,4016.0,4042.0,462866.0,18705699700.0,548768.0,HC1805
2018-03-07,4040.0,4049.0,3945.0,3946.0,640136.0,25610826520.0,542904.0,HC1805
2018-03-08,3946.0,3970.0,3880.0,3883.0,546380.0,21499396400.0,504782.0,HC1805
2018-03-09,3875.0,3896.0,3760.0,3803.0,821858.0,31548512640.0,488736.0,HC1805
2018-03-12,3840.0,3851.0,3785.0,3821.0,557188.0,21299342980.0,456466.0,HC1805
2018-03-13,3825.0,3850.0,3792.0,3811.0,465964.0,17820553680.0,463320.0,HC1805
2018-03-14,3820.0,3872.0,3772.0,3856.0,595988.0,22784220360.0,452032.0,HC1805
2018-03-15,3864.0,3879.0,3833.0,3862.0,416146.0,16056504580.0,439320.0,HC1805
2018-03-16,3860.0,3902.0,3836.0,3877.0,570262.0,22084327720.0,464510.0,HC1805
2018-03-19,3878.0,3888.0,3780.0,3815.0,753830.0,28840474840.0,449164.0,HC1805
2018-03-20,3810.0,3847.0,3786.0,3816.0,639886.0,24430857860.0,442650.0,HC1805
2018-03-21,3813.0,3849.0,3725.0,3735.0,892754.0,33775489100.0,494124.0,HC1805
2018-03-22,3737.0,3768.0,3706.0,3747.0,692420.0,25884140840.0,460976.0,HC1805
2018-03-23,3743.0,3743.0,3513.0,3536.0,1137830.0,40925044580.0,409926.0,HC1805
