date,open,high,low,close,volume,money,open_interest,symbol
2018-01-02,2853.0,2940.0,2851.0,2923.0,826562.0,23995858700.0,619616.0,MA1805
2018-01-03,2923.0,2929.0,2891.0,2909.0,785480.0,22849938200.0,615706.0,MA1805
2018-01-04,2913.0,2948.0,2902.0,2933.0,1051802.0,30771301900.0,648542.0,MA1805
2018-01-05,2934.0,2947.0,2896.0,2924.0,925516.0,27072987700.0,619200.0,MA1805
2018-01-08,2916.0,3000.0,2916.0,2992.0,1183460.0,35097569300.0,750748.0,MA1805
2018-01-09,2992.0,3040.0,2972.0,2980.0,694298.0,20747093600.0,714380.0,MA1805
2018-01-10,2980.0,3004.0,2965.0,2977.0,821528.0,24504198800.0,724790.0,MA1805
2018-01-11,2985.0,2985.0,2955.0,2975.0,720904.0,21405972800.0,718530.0,MA1805
2018-01-12,2977.0,2983.0,2942.0,2952.0,719580.0,21288548900.0,663556.0,MA1805
2018-01-15,2951.0,2964.0,2928.0,2937.0,655152.0,19300625000.0,662138.0,MA1805
2018-01-16,2938.0,2942.0,2822.0,2827.0,1452224.0,41804708500.0,795200.0,MA1805
2018-01-17,2821.0,2845.0,2806.0,2823.0,696484.0,19729248700.0,725224.0,MA1805
2018-01-18,2828.0,2844.0,2808.0,2820.0,871268.0,24608685700.0,749424.0,MA1805
2018-01-19,2826.0,2830.0,2766.0,2800.0,1222882.0,34122669800.0,739644.0,MA1805
2018-01-22,2801.0,2838.0,2793.0,2813.0,821058.0,23105701500.0,719382.0,MA1805
2018-01-23,2810.0,2862.0,2802.0,2843.0,1054882.0,29914974100.0,705774.0,MA1805
2018-01-24,2840.0,2851.0,2815.0,2816.0,823514.0,23339402400.0,698004.0,MA1805
2018-01-25,2820.0,2856.0,2816.0,2842.0,1057654.0,29995349700.0,720456.0,MA1805
2018-01-26,2843.0,2869.0,2803.0,2827.0,1079620.0,30595814300.0,698248.0,MA1805
2018-01-29,2827.0,2878.0,2826.0,2847.0,891592.0,25426523100.0,675426.0,MA1805
2018-01-30,2845.0,2846.0,2795.0,2813.0,975930.0,27492280700.0,688096.0,MA1805
2018-01-31,2815.0,2819.0,2758.0,2784.0,931488.0,25952280200.0,707978.0,MA1805
2018-02-01,2786.0,2798.0,2762.0,2772.0,678530.0,18858760000.0,682458.0,MA1805
2018-02-02,2776.0,2806.0,2767.0,2774.0,732982.0,20415891400.0,687862.0,MA1805
2018-02-05,2768.0,2811.0,2750.0,2803.0,989890.0,27539044200.0,673520.0,MA1805
2018-02-06,2803.0,2833.0,2792.0,2816.0,1035276.0,29131354200.0,650040.0,MA1805
2018-02-07,2815.0,2832.0,2797.0,2799.0,822302.0,23135708900.0,643926.0,MA1805
