date,open,high,low,close,volume,money,open_interest,symbol
2023-09-15,10000.0,10050.0,9410.0,9468.0,235242.0,11315140200.0,30735.0,PX2405
2023-09-18,9450.0,9468.0,9290.0,9346.0,123567.0,5791585290.0,35656.0,PX2405
2023-09-19,9370.0,9436.0,9290.0,9326.0,98362.0,4605308840.0,38861.0,PX2405
2023-09-20,9358.0,9564.0,9254.0,9310.0,217136.0,10220591520.0,47627.0,PX2405
2023-09-21,9344.0,9346.0,9132.0,9134.0,100829.0,4657291510.0,45964.0,PX2405
2023-09-22,9172.0,9280.0,9162.0,9218.0,85025.0,3921353000.0,42487.0,PX2405
2023-09-25,9254.0,9300.0,9066.0,9130.0,85762.0,3931330080.0,42236.0,PX2405
2023-09-26,9120.0,9130.0,8890.0,8930.0,81098.0,3658330780.0,46773.0,PX2405
2023-09-27,8950.0,9040.0,8912.0,8980.0,48233.0,2164697040.0,41127.0,PX2405
2023-09-28,9018.0,9166.0,8968.0,9006.0,60168.0,2729822160.0,33209.0,PX2405
2023-10-09,8746.0,8826.0,8586.0,8620.0,53455.0,2319947000.0,43936.0,PX2405
2023-10-10,8640.0,8650.0,8488.0,8500.0,52618.0,2254681300.0,47778.0,PX2405
2023-10-11,8506.0,8526.0,8404.0,8458.0,74368.0,3145022720.0,53859.0,PX2405
2023-10-12,8438.0,8462.0,8292.0,8390.0,83094.0,3476652960.0,60530.0,PX2405
2023-10-13,8436.0,8486.0,8316.0,8404.0,91310.0,3835020000.0,62214.0,PX2405
2023-10-16,8502.0,8518.0,8402.0,8444.0,90508.0,3831203640.0,63872.0,PX2405
2023-10-17,8460.0,8506.0,8280.0,8362.0,81194.0,3409336060.0,66189.0,PX2405
2023-10-18,8332.0,8498.0,8332.0,8420.0,86598.0,3652703640.0,66680.0,PX2405
2023-10-19,8402.0,8466.0,8318.0,8400.0,78807.0,3308317860.0,66750.0,PX2405
2023-10-20,8388.0,8530.0,8350.0,8410.0,90202.0,3810132480.0,63958.0,PX2405
2023-10-23,8406.0,8432.0,8234.0,8318.0,81920.0,3409510400.0,65595.0,PX2405
2023-10-24,8336.0,8544.0,8298.0,8530.0,89732.0,3768744000.0,65482.0,PX2405
2023-10-25,8500.0,8590.0,8406.0,8460.0,164517.0,6977165970.0,67143.0,PX2405
2023-10-26,8480.0,8564.0,8464.0,8510.0,71013.0,3018762630.0,65909.0,PX2405
2023-10-27,8474.0,8596.0,8430.0,8554.0,91193.0,3874790570.0,63537.0,PX2405
2023-10-30,8552.0,8668.0,8520.0,8630.0,72051.0,3096751980.0,65204.0,PX2405
2023-10-31,8614.0,8688.0,8506.0,8638.0,84397.0,3633290850.0,64595.0,PX2405
2023-11-01,8624.0,8668.0,8566.0,8596.0,56331.0,2427302790.0,62918.0,PX2405
2023-11-02,8650.0,8650.0,8500.0,8564.0,47360.0,2028902400.0,61475.0,PX2405
2023-11-03,8574.0,8696.0,8550.0,8652.0,52730.0,2274244900.0,60070.0,PX2405
2023-11-06,8666.0,8700.0,8502.0,8558.0,97422.0,4176481140.0,67820.0,PX2405
2023-11-07,8570.0,8616.0,8466.0,8496.0,69903.0,2990450340.0,66215.0,PX2405
2023-11-08,8478.0,8492.0,8352.0,8462.0,71098.0,2998202660.0,69082.0,PX2405
2023-11-09,8428.0,8562.0,8380.0,8432.0,80455.0,3411292000.0,72143.0,PX2405
2023-11-10,8450.0,8528.0,8426.0,8470.0,59710.0,2530509800.0,74406.0,PX2405
2023-11-13,8498.0,8538.0,8378.0,8452.0,65886.0,2783024640.0,72019.0,PX2405
2023-11-14,8466.0,8606.0,8426.0,8566.0,63398.0,2703290720.0,73646.0,PX2405
2023-11-15,8540.0,8628.0,8528.0,8624.0,55339.0,2372936320.0,74552.0,PX2405
2023-11-16,8608.0,8780.0,8544.0,8778.0,63738.0,2751569460.0,79042.0,PX2405
2023-11-17,8776.0,8840.0,8630.0,8672.0,113917.0,4975894560.0,84519.0,PX2405
2023-11-20,8694.0,8772.0,8648.0,8708.0,67124.0,2923921440.0,89060.0,PX2405
2023-11-21,8722.0,8762.0,8430.0,8452.0,81928.0,3520446160.0,81361.0,PX2405
2023-11-22,8466.0,8510.0,8388.0,8416.0,54777.0,2315971560.0,77388.0,PX2405
2023-11-23,8400.0,8448.0,8324.0,8410.0,45119.0,1891388480.0,76719.0,PX2405
2023-11-24,8410.0,8448.0,8368.0,8408.0,36107.0,1517938280.0,76379.0,PX2405
2023-11-27,8404.0,8430.0,8272.0,8298.0,70021.0,2915674440.0,77447.0,PX2405
2023-11-28,8296.0,8328.0,8252.0,8258.0,37103.0,1537919350.0,77765.0,PX2405
2023-11-29,8280.0,8330.0,8206.0,8254.0,60764.0,2511983760.0,79137.0,PX2405
2023-11-30,8272.0,8476.0,8262.0,8442.0,91686.0,3830641080.0,69619.0,PX2405
2023-12-01,8446.0,8484.0,8262.0,8318.0,63217.0,2648160130.0,66977.0,PX2405
2023-12-04,8320.0,8402.0,8252.0,8278.0,50667.0,2109773880.0,67580.0,PX2405
2023-12-05,8280.0,8310.0,8190.0,8274.0,48732.0,2011169640.0,68428.0,PX2405
2023-12-06,8270.0,8342.0,8110.0,8310.0,84547.0,3476572640.0,70213.0,PX2405
2023-12-07,8290.0,8310.0,8170.0,8270.0,50637.0,2089788990.0,69488.0,PX2405
2023-12-08,8246.0,8394.0,8244.0,8338.0,57559.0,2399634710.0,71805.0,PX2405
2023-12-11,8340.0,8386.0,8282.0,8336.0,57392.0,2394968160.0,73709.0,PX2405
2023-12-12,8326.0,8426.0,8268.0,8356.0,72177.0,3014833290.0,78311.0,PX2405
2023-12-13,8346.0,8358.0,8132.0,8136.0,97062.0,3992160060.0,94084.0,PX2405
2023-12-14,8160.0,8214.0,8092.0,8098.0,82410.0,3359855700.0,103334.0,PX2405
2023-12-15,8160.0,8300.0,8132.0,8244.0,89144.0,3663818400.0,85609.0,PX2405
2023-12-18,8260.0,8330.0,8200.0,8308.0,47826.0,1975692060.0,82096.0,PX2405
2023-12-19,8300.0,8378.0,8300.0,8318.0,41594.0,1734885740.0,79041.0,PX2405
2023-12-20,8322.0,8512.0,8320.0,8492.0,63446.0,2672345520.0,82436.0,PX2405
2023-12-21,8512.0,8614.0,8450.0,8598.0,78399.0,3341365380.0,80557.0,PX2405
2023-12-22,8580.0,8674.0,8530.0,8604.0,80112.0,3444014880.0,80780.0,PX2405
2023-12-25,8614.0,8626.0,8498.0,8570.0,57315.0,2453082000.0,81522.0,PX2405
2023-12-26,8568.0,8620.0,8530.0,8544.0,43853.0,1879101050.0,82282.0,PX2405
2023-12-27,8558.0,8662.0,8546.0,8648.0,59599.0,2568716900.0,86972.0,PX2405
2023-12-28,8648.0,8724.0,8588.0,8674.0,63938.0,2766597260.0,90250.0,PX2405
2023-12-29,8650.0,8666.0,8532.0,8590.0,53743.0,2308261850.0,89466.0,PX2405
2024-01-02,8602.0,8742.0,8592.0,8614.0,48313.0,2091952900.0,89678.0,PX2405
2024-01-03,8602.0,8670.0,8478.0,8522.0,60611.0,2591726360.0,90417.0,PX2405
2024-01-04,8540.0,8638.0,8500.0,8528.0,61505.0,2632414000.0,93080.0,PX2405
2024-01-05,8526.0,8600.0,8452.0,8558.0,71390.0,3041927900.0,93058.0,PX2405
2024-01-08,8548.0,8646.0,8362.0,8370.0,105868.0,4497272640.0,87007.0,PX2405
2024-01-09,8352.0,8362.0,8266.0,8274.0,62475.0,2597710500.0,88006.0,PX2405
2024-01-10,8322.0,8372.0,8300.0,8318.0,56514.0,2354373240.0,81247.0,PX2405
2024-01-11,8328.0,8360.0,8250.0,8314.0,55927.0,2322648310.0,81898.0,PX2405
2024-01-12,8336.0,8428.0,8308.0,8364.0,59450.0,2487982500.0,83351.0,PX2405
2024-01-15,8366.0,8432.0,8320.0,8360.0,52342.0,2192606380.0,81419.0,PX2405
2024-01-16,8338.0,8478.0,8316.0,8440.0,59446.0,2502082140.0,82780.0,PX2405
2024-01-17,8450.0,8480.0,8396.0,8428.0,52230.0,2204106000.0,77738.0,PX2405
2024-01-18,8406.0,8518.0,8374.0,8474.0,66650.0,2819961500.0,79803.0,PX2405
2024-01-19,8468.0,8576.0,8460.0,8566.0,50111.0,2134227490.0,83054.0,PX2405
2024-01-22,8530.0,8614.0,8510.0,8592.0,57163.0,2449434550.0,81167.0,PX2405
2024-01-23,8596.0,8670.0,8540.0,8662.0,44181.0,1901108430.0,84592.0,PX2405
2024-01-24,8646.0,8754.0,8634.0,8730.0,59445.0,2581101900.0,92616.0,PX2405
2024-01-25,8720.0,8750.0,8600.0,8610.0,89796.0,3889962720.0,90362.0,PX2405
2024-01-26,8620.0,8748.0,8620.0,8670.0,71550.0,3102408000.0,90241.0,PX2405
2024-01-29,8670.0,8718.0,8610.0,8660.0,45824.0,1984637440.0,87156.0,PX2405
2024-01-30,8660.0,8670.0,8592.0,8654.0,38583.0,1665242280.0,85493.0,PX2405
2024-01-31,8636.0,8670.0,8550.0,8598.0,50904.0,2187344880.0,85960.0,PX2405
2024-02-01,8598.0,8602.0,8450.0,8462.0,58129.0,2475714110.0,87450.0,PX2405
2024-02-02,8462.0,8480.0,8366.0,8412.0,49383.0,2080011960.0,86048.0,PX2405
2024-02-05,8410.0,8438.0,8360.0,8404.0,35129.0,1474364130.0,84084.0,PX2405
2024-02-06,8392.0,8478.0,8372.0,8454.0,30981.0,1304919720.0,82010.0,PX2405
2024-02-07,8466.0,8508.0,8436.0,8476.0,31497.0,1334212920.0,81923.0,PX2405
2024-02-08,8488.0,8550.0,8456.0,8480.0,35348.0,1502290000.0,79641.0,PX2405
2024-02-19,8546.0,8628.0,8530.0,8550.0,36955.0,1586478150.0,83047.0,PX2405
2024-02-20,8570.0,8594.0,8460.0,8506.0,44176.0,1887198720.0,85290.0,PX2405
2024-02-21,8486.0,8582.0,8460.0,8522.0,49907.0,2125539130.0,85751.0,PX2405
2024-02-22,8520.0,8620.0,8500.0,8592.0,46061.0,1974174460.0,89911.0,PX2405
2024-02-23,8578.0,8648.0,8532.0,8550.0,56402.0,2424157960.0,91163.0,PX2405
2024-02-26,8540.0,8590.0,8478.0,8488.0,54079.0,2307010140.0,90847.0,PX2405
2024-02-27,8488.0,8608.0,8466.0,8598.0,48334.0,2063378460.0,92953.0,PX2405
2024-02-28,8594.0,8660.0,8572.0,8596.0,51613.0,2223488040.0,92809.0,PX2405
2024-02-29,8600.0,8638.0,8554.0,8606.0,45740.0,1966362600.0,96764.0,PX2405
2024-03-01,8612.0,8620.0,8520.0,8562.0,42730.0,1829271300.0,96633.0,PX2405
2024-03-04,8588.0,8650.0,8492.0,8520.0,80857.0,3465531020.0,97035.0,PX2405
2024-03-05,8520.0,8522.0,8350.0,8360.0,100914.0,4248479400.0,110687.0,PX2405
2024-03-06,8372.0,8448.0,8362.0,8416.0,79788.0,3351893880.0,93218.0,PX2405
2024-03-07,8416.0,8430.0,8360.0,8378.0,38111.0,1599899780.0,97689.0,PX2405
2024-03-08,8344.0,8368.0,8306.0,8334.0,79231.0,3300763460.0,109221.0,PX2405
2024-03-11,8308.0,8362.0,8266.0,8316.0,56632.0,2352493280.0,110481.0,PX2405
2024-03-12,8320.0,8380.0,8302.0,8322.0,49543.0,2064952240.0,110961.0,PX2405
2024-03-13,8318.0,8350.0,8292.0,8324.0,41579.0,1730102190.0,108903.0,PX2405
2024-03-14,8372.0,8464.0,8320.0,8458.0,80252.0,3368176440.0,97561.0,PX2405
2024-03-15,8480.0,8558.0,8460.0,8520.0,83699.0,3563903420.0,86857.0,PX2405
2024-03-18,8510.0,8536.0,8436.0,8522.0,51885.0,2203555950.0,81513.0,PX2405
2024-03-19,8520.0,8580.0,8508.0,8562.0,47707.0,2038997180.0,78883.0,PX2405
2024-03-20,8582.0,8582.0,8460.0,8462.0,40853.0,1738703680.0,78415.0,PX2405
2024-03-21,8418.0,8418.0,8302.0,8330.0,73650.0,3074151000.0,74141.0,PX2405
2024-03-22,8326.0,8368.0,8308.0,8344.0,34904.0,1454798720.0,74512.0,PX2405
2024-03-25,8372.0,8424.0,8348.0,8358.0,51697.0,2166621270.0,72547.0,PX2405
2024-03-26,8384.0,8458.0,8368.0,8374.0,44208.0,1859830560.0,68552.0,PX2405
2024-03-27,8418.0,8476.0,8404.0,8430.0,41874.0,1767920280.0,65123.0,PX2405
2024-03-28,8424.0,8510.0,8400.0,8478.0,35291.0,1493515120.0,63000.0,PX2405
2024-03-29,8504.0,8520.0,8424.0,8444.0,33151.0,1404276360.0,58574.0,PX2405
2024-04-01,8460.0,8550.0,8428.0,8528.0,35019.0,1488307500.0,55527.0,PX2405
