date,open,high,low,close,volume,money,open_interest,symbol
2018-01-02,96.6,96.625,96.255,96.26,10554.0,10182659750.0,45947.0,TF1803
2018-01-03,96.265,96.35,96.25,96.29,9053.0,8718178300.0,46389.0,TF1803
2018-01-04,96.235,96.295,96.095,96.25,10370.0,9975349550.0,45790.0,TF1803
2018-01-05,96.25,96.305,96.21,96.26,5787.0,5570604750.0,45119.0,TF1803
2018-01-08,96.285,96.425,96.195,96.4,9121.0,8787388900.0,44748.0,TF1803
2018-01-09,96.4,96.46,96.355,96.41,7085.0,6830388900.0,43751.0,TF1803
2018-01-10,96.3,96.38,96.195,96.2,9812.0,9449297900.0,43104.0,TF1803
2018-01-11,96.2,96.24,95.985,96.045,12570.0,12076672100.0,41639.0,TF1803
2018-01-12,96.05,96.175,96.05,96.145,6210.0,5968306100.0,40470.0,TF1803
2018-01-15,96.135,96.135,95.885,96.005,10691.0,10259698400.0,40844.0,TF1803
2018-01-16,96.035,96.08,95.935,95.985,6747.0,6477884050.0,39951.0,TF1803
2018-01-17,95.97,96.015,95.805,95.84,14091.0,13517044750.0,40235.0,TF1803
2018-01-18,95.8,95.835,95.64,95.66,14051.0,13452682400.0,39756.0,TF1803
2018-01-19,95.645,95.76,95.57,95.635,12942.0,12380982600.0,38071.0,TF1803
2018-01-22,95.625,95.815,95.58,95.795,10199.0,9761615700.0,37102.0,TF1803
2018-01-23,95.85,95.905,95.785,95.81,9212.0,8827105350.0,36047.0,TF1803
2018-01-24,95.86,96.95,95.815,95.865,10636.0,10199804100.0,33638.0,TF1803
2018-01-25,95.74,95.965,95.705,95.955,8562.0,8207972900.0,31528.0,TF1803
2018-01-26,95.985,96.02,95.92,95.96,8278.0,7943935100.0,30001.0,TF1803
2018-01-29,95.95,96.03,95.87,95.945,8507.0,8162467500.0,28892.0,TF1803
2018-01-30,95.93,95.97,95.865,95.875,9074.0,8704214850.0,27803.0,TF1803
2018-01-31,95.915,95.965,95.865,95.915,8420.0,8075955550.0,26305.0,TF1803
2018-02-01,95.905,96.055,95.89,96.045,12326.0,11832014800.0,22633.0,TF1803
2018-02-02,96.025,96.025,95.94,95.95,7154.0,6866691250.0,21560.0,TF1803
2018-02-05,95.91,95.97,95.805,95.88,11175.0,10716700250.0,20211.0,TF1803
2018-02-06,96.01,96.105,95.975,96.03,12511.0,12015267950.0,18339.0,TF1803
2018-02-07,95.98,96.04,95.92,96.035,8508.0,8165272000.0,16001.0,TF1803
2018-02-08,96.07,96.11,95.855,95.885,10422.0,10005471650.0,14295.0,TF1803
2018-02-09,95.845,96.11,95.845,96.075,14664.0,14077592350.0,10870.0,TF1803
2018-02-12,96.1,96.56,96.005,96.185,8687.0,8344188950.0,8328.0,TF1803
2018-02-13,96.15,96.19,96.05,96.08,6903.0,6634262650.0,5489.0,TF1803
2018-02-14,96.11,96.13,96.0,96.05,2823.0,2711875400.0,4857.0,TF1803
2018-02-22,96.005,96.035,95.855,95.905,2485.0,2383567650.0,4246.0,TF1803
2018-02-23,95.88,95.95,95.88,95.935,4212.0,4040301550.0,17363.0,TF1806
2018-02-26,95.935,96.275,95.935,96.245,8051.0,7738679850.0,17584.0,TF1806
2018-02-27,96.29,96.475,96.19,96.425,10321.0,9941767050.0,17646.0,TF1806
2018-02-28,96.39,96.48,96.36,96.42,7223.0,6964846900.0,17707.0,TF1806
2018-03-01,96.445,96.535,96.41,96.435,7471.0,7207292600.0,17871.0,TF1806
2018-03-02,96.43,96.475,96.385,96.43,7243.0,6984899350.0,18478.0,TF1806
2018-03-05,96.425,96.485,96.31,96.405,6920.0,6669564650.0,18193.0,TF1806
2018-03-06,96.405,96.575,96.36,96.55,10669.0,10293082950.0,18841.0,TF1806
2018-03-07,96.55,96.58,96.485,96.55,7252.0,7000771600.0,18487.0,TF1806
2018-03-08,96.65,96.69,96.485,96.535,6977.0,6736091500.0,18633.0,TF1806
2018-03-09,96.51,96.61,96.455,96.545,7938.0,7662394800.0,18492.0,TF1806
2018-03-12,96.59,96.625,96.545,96.605,5349.0,5166489850.0,18336.0,TF1806
2018-03-13,96.605,96.605,96.43,96.445,6962.0,6719568550.0,18301.0,TF1806
2018-03-14,96.585,96.59,96.38,96.445,8215.0,7922759550.0,18199.0,TF1806
2018-03-15,96.445,96.52,96.435,96.495,4798.0,4629554850.0,18361.0,TF1806
2018-03-16,96.505,96.575,96.475,96.5,4692.0,4528765800.0,18151.0,TF1806
2018-03-19,96.48,96.545,96.445,96.54,4572.0,4411911100.0,18007.0,TF1806
