date,open,high,low,close,volume,money,open_interest,symbol
2023-04-21,96.09,96.28,96.01,96.21,11587.0,11134108100.0,4556.0,TL2306
2023-04-24,96.28,96.41,96.26,96.37,4385.0,4224589000.0,5430.0,TL2306
2023-04-25,96.4,96.48,96.32,96.4,7308.0,7044596100.0,6115.0,TL2306
2023-04-26,96.44,96.51,96.38,96.43,5745.0,5539629300.0,6419.0,TL2306
2023-04-27,96.57,96.79,96.47,96.79,4479.0,4327908000.0,6411.0,TL2306
2023-04-28,96.79,96.79,96.55,96.64,4379.0,4231805300.0,6370.0,TL2306
2023-05-04,96.89,97.1,96.89,97.1,4220.0,4094428300.0,6731.0,TL2306
2023-05-05,97.16,97.57,97.13,97.45,5865.0,5707418600.0,7262.0,TL2306
2023-05-08,97.38,97.38,97.05,97.1,5165.0,5021710200.0,7548.0,TL2306
2023-05-09,97.15,97.23,97.08,97.17,5418.0,5263321900.0,7501.0,TL2306
2023-05-10,97.31,97.41,97.25,97.27,6545.0,6370937600.0,7294.0,TL2306
2023-05-11,97.51,97.69,97.4,97.45,4683.0,4565244400.0,6556.0,TL2306
2023-05-12,97.29,97.41,97.24,97.35,6230.0,6063918600.0,6166.0,TL2306
2023-05-15,97.26,97.4,97.12,97.23,3779.0,3675214200.0,5713.0,TL2306
2023-05-16,97.23,97.29,97.09,97.26,3187.0,3097417100.0,4943.0,TL2306
2023-05-17,97.29,97.35,97.11,97.21,1931.0,1877610900.0,4535.0,TL2306
2023-05-18,97.11,97.18,96.97,97.17,2078.0,2016513400.0,4092.0,TL2306
2023-05-19,96.83,97.0,96.79,96.97,5917.0,5732700700.0,8538.0,TL2309
2023-05-22,96.97,97.06,96.89,96.96,6401.0,6207281500.0,8883.0,TL2309
2023-05-23,97.01,97.24,97.01,97.15,5062.0,4916902200.0,9249.0,TL2309
2023-05-24,97.12,97.26,97.07,97.19,4825.0,4690271700.0,9529.0,TL2309
2023-05-25,97.16,97.18,96.96,97.04,6307.0,6121108500.0,9929.0,TL2309
2023-05-26,96.99,97.09,96.74,96.81,6532.0,6329149200.0,10062.0,TL2309
2023-05-29,96.71,96.99,96.7,96.99,6163.0,5968838600.0,10116.0,TL2309
2023-05-30,97.06,97.09,96.85,96.87,4583.0,4444435200.0,10453.0,TL2309
2023-05-31,96.92,97.06,96.86,97.06,5638.0,5466157000.0,11023.0,TL2309
2023-06-01,97.13,97.26,97.02,97.19,6550.0,6361159400.0,11807.0,TL2309
2023-06-02,97.13,97.16,96.63,96.7,7840.0,7598695200.0,11735.0,TL2309
2023-06-05,96.81,96.98,96.75,96.92,6881.0,6667759400.0,12492.0,TL2309
2023-06-06,96.97,97.08,96.9,97.07,5768.0,5593925700.0,12628.0,TL2309
2023-06-07,97.07,97.27,97.03,97.23,7788.0,7566774800.0,12550.0,TL2309
2023-06-08,97.22,97.22,97.08,97.15,7189.0,6984405600.0,12460.0,TL2309
2023-06-09,97.12,97.65,97.12,97.52,11007.0,10721950000.0,13416.0,TL2309
2023-06-12,97.56,97.74,97.53,97.62,7456.0,7279261300.0,13832.0,TL2309
2023-06-13,97.82,98.21,97.79,98.04,12246.0,12003796300.0,15992.0,TL2309
2023-06-14,98.44,98.51,98.18,98.33,12240.0,12035908900.0,16232.0,TL2309
2023-06-15,98.18,98.2,97.67,97.76,11949.0,11697356400.0,16284.0,TL2309
2023-06-16,97.64,97.71,97.13,97.38,16908.0,16463591700.0,15778.0,TL2309
2023-06-19,97.38,97.42,96.96,97.15,14627.0,14213214200.0,16378.0,TL2309
2023-06-20,97.22,97.43,97.21,97.36,10992.0,10698083800.0,16418.0,TL2309
2023-06-21,97.46,97.59,97.37,97.5,11569.0,11276538500.0,15996.0,TL2309
2023-06-26,97.6,97.75,97.55,97.7,11727.0,11454289600.0,16279.0,TL2309
2023-06-27,97.6,97.66,97.42,97.56,11122.0,10845774900.0,16383.0,TL2309
2023-06-28,97.64,97.79,97.6,97.78,10086.0,9853465600.0,16054.0,TL2309
2023-06-29,97.68,97.93,97.61,97.82,10206.0,9980990700.0,17040.0,TL2309
2023-06-30,97.94,98.11,97.82,98.1,10158.0,9951329000.0,16839.0,TL2309
2023-07-03,98.0,98.05,97.84,97.92,9074.0,8886861200.0,17072.0,TL2309
2023-07-04,97.9,98.13,97.36,97.71,12156.0,11900255000.0,17314.0,TL2309
2023-07-05,97.88,98.05,97.77,98.04,8216.0,8043823300.0,17388.0,TL2309
2023-07-06,98.03,98.12,97.88,97.97,12581.0,12333030100.0,18224.0,TL2309
2023-07-07,98.03,98.17,97.98,98.11,11898.0,11671669900.0,17593.0,TL2309
2023-07-10,98.09,98.29,97.94,98.28,12884.0,12642423700.0,18350.0,TL2309
2023-07-11,98.34,98.5,98.3,98.35,13144.0,12932655400.0,18500.0,TL2309
2023-07-12,98.36,98.49,98.27,98.49,13385.0,13161990500.0,18222.0,TL2309
2023-07-13,98.47,98.55,98.37,98.4,11866.0,11682170100.0,17952.0,TL2309
2023-07-14,98.36,98.53,98.22,98.37,16850.0,16570708100.0,18061.0,TL2309
2023-07-17,98.35,98.64,98.31,98.64,12033.0,11857104900.0,18036.0,TL2309
2023-07-18,98.68,98.89,98.64,98.79,12851.0,12689604400.0,17894.0,TL2309
2023-07-19,98.88,98.88,98.7,98.74,11397.0,11260542900.0,17912.0,TL2309
2023-07-20,98.69,98.92,98.57,98.86,11840.0,11693688200.0,18833.0,TL2309
2023-07-21,98.97,99.32,98.97,99.27,13430.0,13317944100.0,19484.0,TL2309
2023-07-24,99.4,99.59,99.29,99.54,10739.0,10675216500.0,20469.0,TL2309
2023-07-25,98.78,99.0,98.61,98.65,18773.0,18554681800.0,19634.0,TL2309
2023-07-26,98.72,99.15,98.68,99.1,16906.0,16723791000.0,19828.0,TL2309
2023-07-27,99.17,99.39,99.12,99.26,14930.0,14820926800.0,19069.0,TL2309
2023-07-28,99.31,99.4,98.98,99.1,15250.0,15123867600.0,19242.0,TL2309
2023-07-31,98.63,99.04,98.63,98.98,16026.0,15841051800.0,18575.0,TL2309
2023-08-01,99.06,99.24,99.01,99.05,13805.0,13685894700.0,18326.0,TL2309
2023-08-02,99.18,99.3,99.15,99.2,11064.0,10978904500.0,17606.0,TL2309
2023-08-03,99.25,99.43,99.25,99.37,12293.0,12213577500.0,17439.0,TL2309
2023-08-04,99.28,99.59,99.2,99.47,15606.0,15513142100.0,17062.0,TL2309
2023-08-07,99.48,99.55,99.41,99.54,10506.0,10452067700.0,16157.0,TL2309
2023-08-08,99.57,99.59,99.43,99.48,13186.0,13119830400.0,14895.0,TL2309
2023-08-09,99.5,99.55,99.45,99.53,11836.0,11776133400.0,14011.0,TL2309
2023-08-10,99.48,99.53,99.4,99.44,14297.0,14219686100.0,13582.0,TL2309
2023-08-11,99.48,99.62,99.45,99.55,12648.0,12588972900.0,13129.0,TL2309
2023-08-14,99.81,99.99,99.79,99.86,10105.0,10094726800.0,12095.0,TL2309
2023-08-15,100.2,100.83,100.2,100.56,12974.0,13052539700.0,11229.0,TL2309
2023-08-16,100.7,100.86,100.63,100.79,10286.0,10360284800.0,10688.0,TL2309
2023-08-17,100.77,100.79,100.48,100.49,13504.0,13584593800.0,9457.0,TL2309
2023-08-18,100.45,100.8,100.45,100.76,8140.0,8195990800.0,9093.0,TL2309
2023-08-21,100.6,101.37,100.59,101.16,21405.0,21612171400.0,22228.0,TL2312
2023-08-22,101.11,101.32,100.93,101.13,21256.0,21492218300.0,23017.0,TL2312
2023-08-23,101.05,101.25,101.05,101.22,15535.0,15715803300.0,23785.0,TL2312
2023-08-24,101.28,101.4,101.22,101.36,15335.0,15535422000.0,25388.0,TL2312
2023-08-25,101.36,101.47,101.01,101.11,19038.0,19276023400.0,25437.0,TL2312
2023-08-28,100.45,101.1,100.4,101.03,18682.0,18843484400.0,27579.0,TL2312
2023-08-29,101.09,101.09,100.63,100.78,21831.0,22014294300.0,28072.0,TL2312
2023-08-30,100.71,101.07,100.67,100.8,23723.0,23936746500.0,28540.0,TL2312
2023-08-31,100.88,101.0,100.74,100.87,19195.0,19362180400.0,29046.0,TL2312
2023-09-01,100.67,100.78,100.32,100.39,20826.0,20950638100.0,31308.0,TL2312
2023-09-04,99.93,100.07,99.61,99.77,28771.0,28715160700.0,31159.0,TL2312
2023-09-05,99.85,99.89,99.57,99.59,18877.0,18828274900.0,32859.0,TL2312
2023-09-06,99.68,99.76,99.2,99.23,22382.0,22266728800.0,33650.0,TL2312
2023-09-07,99.22,99.39,98.85,98.96,25589.0,25373978500.0,33281.0,TL2312
