date,open,high,low,close,volume,money,open_interest,symbol
2018-01-02,279.55,279.9,278.95,279.4,54760.0,15291058700.0,255972.0,AU1806
2018-01-03,279.8,281.45,279.45,280.35,120498.0,33793314000.0,269758.0,AU1806
2018-01-04,280.25,280.5,278.35,279.0,115606.0,32290310200.0,268078.0,AU1806
2018-01-05,279.3,280.5,278.4,279.85,131968.0,36911520400.0,271418.0,AU1806
2018-01-08,279.55,280.8,279.05,280.2,122670.0,34343562500.0,265332.0,AU1806
2018-01-09,280.35,281.0,280.0,280.55,97146.0,27253832400.0,269750.0,AU1806
2018-01-10,280.6,280.85,279.75,279.95,100630.0,28196235900.0,275136.0,AU1806
2018-01-11,281.7,281.85,280.5,280.85,107986.0,30359165000.0,277640.0,AU1806
2018-01-12,280.95,281.8,280.55,281.55,107150.0,30130367900.0,281512.0,AU1806
2018-01-15,281.7,282.6,280.05,282.05,154100.0,43423027500.0,281200.0,AU1806
2018-01-16,282.25,282.35,281.5,281.65,73686.0,20772222300.0,278914.0,AU1806
2018-01-17,281.05,281.9,280.55,280.8,120036.0,33745873900.0,277878.0,AU1806
2018-01-18,280.95,281.0,278.65,279.25,120704.0,33756617100.0,275960.0,AU1806
2018-01-19,278.8,279.4,277.9,278.35,123998.0,34553895100.0,275066.0,AU1806
2018-01-22,278.9,279.15,278.45,278.5,91784.0,25594246000.0,274708.0,AU1806
2018-01-23,278.9,279.6,278.6,279.4,106384.0,29693436600.0,282894.0,AU1806
2018-01-24,279.65,280.7,279.15,280.7,129994.0,36378262900.0,289142.0,AU1806
2018-01-25,281.25,282.1,280.75,281.75,147606.0,41543064800.0,289750.0,AU1806
2018-01-26,280.65,281.25,279.15,279.95,160632.0,45013257000.0,289436.0,AU1806
2018-01-29,279.4,280.0,278.55,278.7,116526.0,32544038000.0,295796.0,AU1806
2018-01-30,278.25,278.75,276.2,276.35,142162.0,39445428700.0,298672.0,AU1806
2018-01-31,277.55,278.05,276.45,276.6,130220.0,36087472700.0,294800.0,AU1806
