date,open,high,low,close,volume,money,open_interest,symbol
2018-01-02,130.15,131.3,128.75,131.3,26.0,1696100.0,6.0,BB1804
2018-01-03,130.75,130.75,129.7,129.7,4.0,260400.0,4.0,BB1804
2018-01-04,129.2,129.2,129.2,129.2,2.0,129200.0,4.0,BB1804
2018-01-05,130.9,131.85,130.9,131.85,6.0,393800.0,8.0,BB1804
2018-01-08,131.0,131.0,131.0,131.0,2.0,131000.0,6.0,BB1804
2018-01-09,131.0,131.0,131.0,131.0,0.0,0.0,6.0,BB1804
2018-01-10,131.0,131.0,131.0,131.15,0.0,0.0,6.0,BB1804
2018-01-11,131.15,131.15,131.15,131.15,0.0,0.0,6.0,BB1804
2018-01-12,131.5,131.5,131.5,131.5,4.0,263000.0,4.0,BB1804
2018-01-15,107.55,107.55,107.55,115.15,0.0,0.0,12.0,BB1805
2018-01-16,124.35,124.35,124.35,124.35,2.0,124400.0,10.0,BB1805
2018-01-17,125.0,129.05,118.25,123.45,14.0,879200.0,8.0,BB1805
2018-01-18,126.95,131.25,120.2,126.65,48.0,3067200.0,6.0,BB1805
2018-01-19,126.8,130.0,126.8,130.0,8.0,511400.0,6.0,BB1805
2018-01-22,129.0,129.55,129.0,129.4,12.0,775800.0,6.0,BB1805
2018-01-23,129.2,129.2,129.1,129.1,6.0,387400.0,0.0,BB1805
2018-01-24,129.1,129.1,129.1,129.1,0.0,0.0,0.0,BB1805
2018-01-25,135.0,135.0,135.0,135.0,0.0,0.0,2.0,BB1802
2018-01-26,135.0,135.0,135.0,135.0,0.0,0.0,2.0,BB1802
2018-01-29,135.0,135.0,135.0,135.0,0.0,0.0,2.0,BB1802
2018-01-30,131.6,131.75,125.3,127.05,14.0,903400.0,8.0,BB1805
2018-01-31,129.5,129.5,129.05,129.05,10.0,647000.0,2.0,BB1805
2018-02-01,129.05,129.05,129.05,129.4,0.0,0.0,2.0,BB1805
2018-02-02,143.1,143.1,143.1,155.95,0.0,0.0,2.0,BB1802
2018-02-05,173.05,173.05,173.05,173.05,2.0,173000.0,0.0,BB1802
2018-02-06,173.05,173.05,173.05,173.05,0.0,0.0,0.0,BB1802
2018-02-07,129.8,129.8,129.8,129.8,0.0,0.0,0.0,BB1805
2018-02-08,130.4,130.4,130.4,130.4,0.0,0.0,2.0,BB1804
2018-02-09,130.4,130.4,130.4,130.5,0.0,0.0,2.0,BB1804
2018-02-12,133.85,133.85,133.85,133.5,0.0,0.0,12.0,BB1805
2018-02-13,133.5,133.5,133.5,133.7,0.0,0.0,12.0,BB1805
2018-02-14,133.9,133.9,133.85,133.85,4.0,267800.0,8.0,BB1805
2018-02-22,133.85,133.85,133.85,133.85,0.0,0.0,8.0,BB1805
2018-02-23,133.85,133.85,133.85,133.85,0.0,0.0,8.0,BB1805
2018-02-26,133.9,135.8,133.9,134.5,8.0,538200.0,4.0,BB1805
2018-02-27,134.5,134.5,134.5,134.5,0.0,0.0,4.0,BB1805
2018-02-28,134.5,134.5,134.5,134.5,0.0,0.0,4.0,BB1805
2018-03-01,134.5,134.5,134.5,134.5,0.0,0.0,4.0,BB1805
2018-03-02,133.25,133.25,133.25,133.25,2.0,133200.0,4.0,BB1805
2018-03-05,133.25,133.25,133.25,133.3,0.0,0.0,4.0,BB1805
2018-03-06,133.3,133.3,133.3,133.3,0.0,0.0,4.0,BB1805
2018-03-07,133.3,133.3,133.3,133.3,0.0,0.0,4.0,BB1805
2018-03-08,133.3,133.3,133.3,133.95,0.0,0.0,4.0,BB1805
2018-03-09,133.95,133.95,133.95,133.95,0.0,0.0,4.0,BB1805
2018-03-12,136.45,140.1,136.45,137.55,16.0,1110800.0,8.0,BB1805
2018-03-13,138.75,143.5,138.15,138.15,8.0,558800.0,6.0,BB1805
2018-03-14,138.15,138.15,138.15,139.7,0.0,0.0,6.0,BB1805
2018-03-15,143.45,143.45,136.6,138.35,34.0,2377900.0,4.0,BB1805
2018-03-16,138.35,138.35,138.35,139.85,0.0,0.0,4.0,BB1805
2018-03-19,139.85,139.85,139.85,139.85,0.0,0.0,4.0,BB1805
2018-03-20,139.85,139.85,139.85,139.85,0.0,0.0,4.0,BB1805
2018-03-21,139.85,139.85,139.85,139.85,0.0,0.0,4.0,BB1805
2018-03-22,139.85,139.85,134.3,134.35,26.0,1775200.0,12.0,BB1805
