date,open,high,low,close,volume,money,open_interest,symbol
2018-01-02,2122.0,2151.0,2119.0,2139.0,192486.0,4118045300.0,345944.0,CS1805
2018-01-03,2140.0,2169.0,2140.0,2163.0,220548.0,4764283100.0,371530.0,CS1805
2018-01-04,2160.0,2163.0,2141.0,2147.0,158580.0,3406862000.0,362488.0,CS1805
2018-01-05,2149.0,2160.0,2146.0,2149.0,110242.0,2373013600.0,351350.0,CS1805
2018-01-08,2147.0,2152.0,2116.0,2116.0,237982.0,5076182100.0,359636.0,CS1805
2018-01-09,2118.0,2122.0,2107.0,2121.0,160224.0,3387080600.0,348626.0,CS1805
2018-01-10,2123.0,2128.0,2115.0,2124.0,128584.0,2728238100.0,346790.0,CS1805
2018-01-11,2130.0,2134.0,2110.0,2112.0,173668.0,3682346400.0,353724.0,CS1805
2018-01-12,2108.0,2128.0,2106.0,2126.0,151450.0,3206978000.0,336084.0,CS1805
2018-01-15,2130.0,2155.0,2125.0,2137.0,260494.0,5582335300.0,351908.0,CS1805
2018-01-16,2139.0,2141.0,2120.0,2136.0,145770.0,3109244600.0,330976.0,CS1805
2018-01-17,2138.0,2138.0,2112.0,2115.0,206110.0,4377282700.0,322618.0,CS1805
2018-01-18,2116.0,2119.0,2097.0,2114.0,197646.0,4169670100.0,314788.0,CS1805
2018-01-19,2114.0,2116.0,2097.0,2099.0,125110.0,2633937500.0,313744.0,CS1805
2018-01-22,2104.0,2104.0,2088.0,2093.0,147428.0,3087960800.0,311906.0,CS1805
2018-01-23,2090.0,2100.0,2080.0,2080.0,121260.0,2535973200.0,314432.0,CS1805
2018-01-24,2084.0,2092.0,2079.0,2084.0,102666.0,2141474900.0,309900.0,CS1805
2018-01-25,2088.0,2098.0,2080.0,2083.0,136144.0,2842501500.0,322016.0,CS1805
2018-01-26,2082.0,2091.0,2076.0,2086.0,147472.0,3072189300.0,329056.0,CS1805
2018-01-29,2086.0,2093.0,2084.0,2091.0,93470.0,1952111300.0,322332.0,CS1805
2018-01-30,2089.0,2096.0,2085.0,2087.0,96996.0,2027790900.0,316664.0,CS1805
2018-01-31,2090.0,2102.0,2080.0,2082.0,228336.0,4773814800.0,318768.0,CS1805
2018-02-01,2084.0,2130.0,2083.0,2121.0,389262.0,8208544500.0,314834.0,CS1805
2018-02-02,2118.0,2126.0,2109.0,2116.0,144566.0,3059567600.0,284266.0,CS1805
2018-02-05,2120.0,2133.0,2118.0,2127.0,122906.0,2609234200.0,277664.0,CS1805
2018-02-06,2128.0,2137.0,2115.0,2129.0,140306.0,2981450400.0,275176.0,CS1805
2018-02-07,2129.0,2154.0,2129.0,2147.0,175494.0,3762171300.0,289058.0,CS1805
2018-02-08,2146.0,2151.0,2137.0,2144.0,86598.0,1855268600.0,286018.0,CS1805
2018-02-09,2147.0,2147.0,2130.0,2142.0,126502.0,2705599700.0,276488.0,CS1805
2018-02-12,2142.0,2151.0,2132.0,2133.0,99290.0,2124616900.0,275982.0,CS1805
2018-02-13,2136.0,2137.0,2101.0,2103.0,182026.0,3850520000.0,245408.0,CS1805
2018-02-14,2103.0,2129.0,2101.0,2127.0,99154.0,2093779400.0,233112.0,CS1805
2018-02-22,2138.0,2139.0,2121.0,2131.0,120386.0,2565023400.0,240126.0,CS1805
2018-02-23,2133.0,2135.0,2125.0,2134.0,93274.0,1986771700.0,249974.0,CS1805
2018-02-26,2138.0,2184.0,2138.0,2177.0,364750.0,7896042500.0,332848.0,CS1805
2018-02-27,2177.0,2179.0,2164.0,2168.0,120708.0,2619301700.0,319254.0,CS1805
2018-02-28,2169.0,2177.0,2157.0,2167.0,152526.0,3304858000.0,327268.0,CS1805
2018-03-01,2169.0,2172.0,2140.0,2155.0,207196.0,4462842600.0,308114.0,CS1805
2018-03-02,2161.0,2205.0,2158.0,2161.0,440516.0,9600358200.0,310542.0,CS1805
2018-03-05,2172.0,2209.0,2167.0,2202.0,300964.0,6602398200.0,334600.0,CS1805
2018-03-06,2209.0,2221.0,2195.0,2197.0,209082.0,4609819100.0,328266.0,CS1805
2018-03-07,2198.0,2204.0,2185.0,2191.0,168370.0,3692538800.0,328314.0,CS1805
2018-03-08,2192.0,2192.0,2171.0,2189.0,175098.0,3820129600.0,323070.0,CS1805
2018-03-09,2197.0,2205.0,2174.0,2179.0,220514.0,4822412000.0,319870.0,CS1805
2018-03-12,2168.0,2173.0,2140.0,2141.0,236662.0,5098402900.0,283670.0,CS1805
2018-03-13,2141.0,2155.0,2133.0,2151.0,127104.0,2729468900.0,268404.0,CS1805
2018-03-14,2150.0,2154.0,2141.0,2143.0,89386.0,1919659400.0,261828.0,CS1805
2018-03-15,2140.0,2141.0,2123.0,2128.0,156776.0,3339328100.0,252296.0,CS1805
2018-03-16,2130.0,2146.0,2130.0,2138.0,136882.0,2925426300.0,239932.0,CS1805
2018-03-19,2135.0,2154.0,2134.0,2147.0,140442.0,3010966500.0,236666.0,CS1805
2018-03-20,2138.0,2147.0,2126.0,2139.0,144310.0,3083509600.0,228638.0,CS1805
2018-03-21,2140.0,2160.0,2140.0,2142.0,170104.0,3658509100.0,220054.0,CS1805
2018-03-22,2145.0,2146.0,2119.0,2125.0,246882.0,5253080400.0,223554.0,CS1805
2018-03-23,2119.0,2137.0,2113.0,2127.0,176054.0,3747429200.0,206888.0,CS1805
2018-03-26,2129.0,2138.0,2120.0,2133.0,115792.0,2465170700.0,203926.0,CS1805
2018-03-27,2130.0,2139.0,2123.0,2126.0,126762.0,2699005100.0,215042.0,CS1805
2018-03-28,2126.0,2173.0,2123.0,2169.0,298226.0,6422459600.0,223444.0,CS1805
2018-03-29,2166.0,2166.0,2136.0,2146.0,183826.0,3948963900.0,191518.0,CS1805
2018-03-30,2160.0,2163.0,2142.0,2147.0,138580.0,2978508100.0,185746.0,CS1805
2018-04-02,2143.0,2146.0,2125.0,2138.0,146978.0,3137359400.0,164308.0,CS1805
2018-04-03,2147.0,2170.0,2130.0,2134.0,163246.0,3506564700.0,149274.0,CS1805
2018-04-04,2137.0,2168.0,2136.0,2165.0,99264.0,2139486600.0,144508.0,CS1805
2018-04-09,2162.0,2179.0,2130.0,2132.0,249374.0,5367617300.0,237560.0,CS1809
2018-04-10,2130.0,2132.0,2107.0,2113.0,305702.0,6464869800.0,273038.0,CS1809
2018-04-11,2117.0,2123.0,2112.0,2120.0,123320.0,2611888200.0,271214.0,CS1809
2018-04-12,2116.0,2127.0,2110.0,2119.0,120724.0,2558117200.0,273946.0,CS1809
2018-04-13,2120.0,2152.0,2110.0,2139.0,263102.0,5604953900.0,251390.0,CS1809
2018-04-16,2140.0,2140.0,2125.0,2126.0,100536.0,2141685100.0,246132.0,CS1809
2018-04-17,2126.0,2134.0,2121.0,2128.0,125328.0,2664991900.0,244810.0,CS1809
2018-04-18,2128.0,2135.0,2125.0,2129.0,109506.0,2332383400.0,248312.0,CS1809
2018-04-19,2131.0,2132.0,2114.0,2124.0,181420.0,3844610800.0,266390.0,CS1809
2018-04-20,2124.0,2148.0,2121.0,2136.0,261876.0,5595088200.0,259558.0,CS1809
2018-04-23,2136.0,2140.0,2120.0,2120.0,191280.0,4071894800.0,254510.0,CS1809
2018-04-24,2120.0,2125.0,2118.0,2120.0,101116.0,2145339100.0,258798.0,CS1809
2018-04-25,2120.0,2131.0,2119.0,2124.0,99626.0,2118480800.0,250826.0,CS1809
2018-04-26,2126.0,2127.0,2115.0,2121.0,127858.0,2710192400.0,257996.0,CS1809
2018-04-27,2123.0,2144.0,2119.0,2134.0,204776.0,4368068200.0,253904.0,CS1809
2018-05-02,2142.0,2159.0,2128.0,2159.0,213208.0,4575690900.0,284180.0,CS1809
2018-05-03,2155.0,2169.0,2151.0,2167.0,154230.0,3331103400.0,299768.0,CS1809
2018-05-04,2163.0,2167.0,2154.0,2156.0,110312.0,2381428100.0,293478.0,CS1809
2018-05-07,2153.0,2162.0,2144.0,2151.0,138746.0,2984713400.0,276760.0,CS1809
2018-05-08,2160.0,2161.0,2148.0,2156.0,94464.0,2034924500.0,274216.0,CS1809
2018-05-09,2159.0,2176.0,2157.0,2169.0,185288.0,4018785800.0,308418.0,CS1809
2018-05-10,2165.0,2181.0,2165.0,2170.0,118984.0,2586713900.0,315938.0,CS1809
2018-05-11,2170.0,2174.0,2159.0,2171.0,102958.0,2229027200.0,305066.0,CS1809
2018-05-14,2170.0,2192.0,2168.0,2178.0,151120.0,3299582800.0,322126.0,CS1809
2018-05-15,2178.0,2182.0,2163.0,2172.0,126280.0,2739991600.0,284654.0,CS1809
2018-05-16,2172.0,2190.0,2169.0,2190.0,135522.0,2953821700.0,300434.0,CS1809
2018-05-17,2190.0,2195.0,2181.0,2186.0,104544.0,2285967700.0,303806.0,CS1809
2018-05-18,2189.0,2200.0,2168.0,2200.0,233382.0,5101912200.0,312662.0,CS1809
2018-05-21,2202.0,2219.0,2194.0,2212.0,225620.0,4984564100.0,323898.0,CS1809
2018-05-22,2212.0,2214.0,2201.0,2202.0,82168.0,1812869400.0,313730.0,CS1809
2018-05-23,2205.0,2224.0,2190.0,2197.0,227728.0,5023218800.0,294020.0,CS1809
2018-05-24,2203.0,2250.0,2200.0,2228.0,367400.0,8195874200.0,334522.0,CS1809
2018-05-25,2226.0,2229.0,2216.0,2224.0,123004.0,2734081300.0,320366.0,CS1809
2018-05-28,2225.0,2240.0,2218.0,2225.0,156762.0,3492496600.0,324580.0,CS1809
2018-05-29,2222.0,2238.0,2216.0,2227.0,159788.0,3559652400.0,319420.0,CS1809
2018-05-30,2226.0,2242.0,2218.0,2223.0,204262.0,4551714700.0,309624.0,CS1809
2018-05-31,2222.0,2236.0,2212.0,2220.0,191666.0,4263571400.0,296238.0,CS1809
2018-06-01,2217.0,2227.0,2200.0,2207.0,197460.0,4366802400.0,274190.0,CS1809
2018-06-04,2207.0,2217.0,2201.0,2205.0,135916.0,3003932700.0,271278.0,CS1809
2018-06-05,2201.0,2206.0,2181.0,2191.0,222876.0,4882568600.0,240732.0,CS1809
2018-06-06,2193.0,2198.0,2185.0,2186.0,92434.0,2025312800.0,230178.0,CS1809
2018-06-07,2185.0,2192.0,2181.0,2188.0,103752.0,2269061000.0,232230.0,CS1809
2018-06-08,2182.0,2190.0,2170.0,2171.0,163298.0,3558380500.0,216804.0,CS1809
2018-06-11,2179.0,2184.0,2165.0,2177.0,105064.0,2289077300.0,209318.0,CS1809
2018-06-12,2177.0,2184.0,2173.0,2179.0,83880.0,1827616300.0,210838.0,CS1809
2018-06-13,2184.0,2204.0,2179.0,2197.0,209424.0,4598174600.0,206844.0,CS1809
2018-06-14,2197.0,2201.0,2191.0,2195.0,77130.0,1693287900.0,195058.0,CS1809
2018-06-15,2197.0,2216.0,2197.0,2208.0,163022.0,3602217200.0,215950.0,CS1809
2018-06-19,2289.0,2289.0,2196.0,2214.0,305934.0,6797646700.0,189752.0,CS1809
2018-06-20,2214.0,2230.0,2208.0,2230.0,145018.0,3217256900.0,197924.0,CS1809
2018-06-21,2226.0,2240.0,2222.0,2225.0,131110.0,2921939500.0,202348.0,CS1809
2018-06-22,2230.0,2233.0,2216.0,2231.0,105572.0,2348455800.0,200380.0,CS1809
2018-06-25,2230.0,2248.0,2224.0,2237.0,142886.0,3196460100.0,217932.0,CS1809
2018-06-26,2237.0,2248.0,2230.0,2234.0,127812.0,2862329000.0,203568.0,CS1809
2018-06-27,2234.0,2248.0,2232.0,2245.0,121764.0,2729746900.0,212568.0,CS1809
2018-06-28,2248.0,2254.0,2221.0,2232.0,178294.0,3982165300.0,189468.0,CS1809
2018-06-29,2232.0,2240.0,2226.0,2240.0,101318.0,2261618400.0,181480.0,CS1809
2018-07-02,2240.0,2252.0,2233.0,2240.0,126540.0,2841427500.0,190286.0,CS1809
2018-07-03,2236.0,2261.0,2236.0,2254.0,151098.0,3398736500.0,215790.0,CS1809
2018-07-04,2251.0,2258.0,2244.0,2249.0,100792.0,2266950700.0,197718.0,CS1809
2018-07-05,2251.0,2255.0,2232.0,2240.0,150878.0,3382688900.0,185152.0,CS1809
2018-07-06,2242.0,2246.0,2235.0,2242.0,87808.0,1967974800.0,184364.0,CS1809
2018-07-09,2249.0,2265.0,2245.0,2252.0,140880.0,3176910200.0,206500.0,CS1809
2018-07-10,2252.0,2256.0,2248.0,2253.0,69872.0,1573266600.0,206148.0,CS1809
2018-07-11,2253.0,2259.0,2242.0,2243.0,113348.0,2549409000.0,195784.0,CS1809
2018-07-12,2245.0,2248.0,2238.0,2241.0,80410.0,1803460300.0,193722.0,CS1809
2018-07-13,2241.0,2245.0,2238.0,2242.0,49070.0,1099917100.0,193862.0,CS1809
2018-07-16,2247.0,2283.0,2242.0,2278.0,231552.0,5260015300.0,223416.0,CS1809
2018-07-17,2277.0,2284.0,2271.0,2277.0,101764.0,2317254000.0,214456.0,CS1809
2018-07-18,2278.0,2287.0,2275.0,2283.0,96914.0,2210085600.0,214300.0,CS1809
2018-07-19,2282.0,2296.0,2279.0,2287.0,105092.0,2403563200.0,214416.0,CS1809
2018-07-20,2290.0,2299.0,2282.0,2295.0,99374.0,2277787500.0,224064.0,CS1809
2018-07-23,2298.0,2299.0,2271.0,2277.0,160436.0,3658920400.0,198940.0,CS1809
2018-07-24,2277.0,2283.0,2272.0,2279.0,68190.0,1553295700.0,191180.0,CS1809
2018-07-25,2284.0,2287.0,2266.0,2268.0,102730.0,2338428000.0,184468.0,CS1809
2018-07-26,2267.0,2274.0,2262.0,2266.0,90940.0,2062257600.0,179444.0,CS1809
2018-07-27,2266.0,2267.0,2253.0,2254.0,100092.0,2261323600.0,167392.0,CS1809
2018-07-30,2255.0,2276.0,2254.0,2275.0,100134.0,2268002400.0,168160.0,CS1809
2018-07-31,2275.0,2283.0,2271.0,2277.0,84796.0,1930632000.0,153810.0,CS1809
2018-08-01,2281.0,2281.0,2266.0,2270.0,82750.0,1880629900.0,136696.0,CS1809
2018-08-02,2272.0,2275.0,2258.0,2263.0,66560.0,1507563100.0,132314.0,CS1809
2018-08-03,2268.0,2288.0,2263.0,2279.0,125804.0,2868050700.0,132272.0,CS1809
2018-08-06,2284.0,2350.0,2281.0,2321.0,250350.0,5815630200.0,124736.0,CS1809
2018-08-07,2320.0,2330.0,2308.0,2319.0,134964.0,3129181300.0,102920.0,CS1809
2018-08-08,2313.0,2333.0,2303.0,2329.0,159564.0,3698856900.0,90488.0,CS1809
2018-08-09,2329.0,2337.0,2315.0,2318.0,104432.0,2427045800.0,76262.0,CS1809
2018-08-10,2372.0,2383.0,2362.0,2367.0,128204.0,3038278500.0,203576.0,CS1901
2018-08-13,2362.0,2396.0,2356.0,2386.0,166906.0,3976539200.0,224954.0,CS1901
2018-08-14,2390.0,2391.0,2372.0,2376.0,115234.0,2741467900.0,223332.0,CS1901
2018-08-15,2380.0,2394.0,2376.0,2382.0,131766.0,3141189600.0,232740.0,CS1901
2018-08-16,2370.0,2378.0,2363.0,2368.0,116632.0,2766650900.0,217812.0,CS1901
2018-08-17,2361.0,2365.0,2336.0,2341.0,187040.0,4388565400.0,183396.0,CS1901
2018-08-20,2342.0,2354.0,2340.0,2342.0,112388.0,2636690700.0,186758.0,CS1901
2018-08-21,2342.0,2342.0,2323.0,2333.0,115028.0,2684129600.0,193506.0,CS1901
