date,open,high,low,close,volume,money,open_interest,symbol
2018-01-02,55400.0,55640.0,54840.0,55250.0,130716.0,36038775600.0,157116.0,CU1802
2018-01-03,55090.0,55230.0,54700.0,54850.0,130204.0,35771335000.0,149810.0,CU1802
2018-01-04,54740.0,55280.0,54560.0,55180.0,154148.0,42294638600.0,148736.0,CU1802
2018-01-05,55280.0,55340.0,54660.0,54860.0,121402.0,33347630500.0,138126.0,CU1802
2018-01-08,54600.0,54700.0,54270.0,54530.0,130666.0,35582316900.0,130120.0,CU1802
2018-01-09,54600.0,55100.0,54530.0,55010.0,176372.0,48326206200.0,235202.0,CU1803
2018-01-10,55000.0,55180.0,54680.0,54800.0,161198.0,44244226400.0,229634.0,CU1803
2018-01-11,55210.0,55310.0,54900.0,55110.0,158968.0,43783060700.0,232216.0,CU1803
2018-01-12,55050.0,55130.0,54260.0,54800.0,214000.0,58510941500.0,228728.0,CU1803
2018-01-15,54440.0,55120.0,54350.0,54990.0,223716.0,61160263300.0,235100.0,CU1803
2018-01-16,54970.0,55010.0,54180.0,54300.0,205918.0,56218672200.0,221526.0,CU1803
2018-01-17,53900.0,54050.0,53570.0,53580.0,231424.0,62258337200.0,214052.0,CU1803
2018-01-18,53720.0,53950.0,53450.0,53670.0,204204.0,54816047200.0,211606.0,CU1803
2018-01-19,53790.0,53890.0,53550.0,53710.0,180656.0,48515852400.0,211296.0,CU1803
2018-01-22,53760.0,53980.0,53310.0,53900.0,249866.0,66964157000.0,214884.0,CU1803
2018-01-23,53870.0,53880.0,53430.0,53720.0,200602.0,53804713000.0,215576.0,CU1803
2018-01-24,52930.0,52990.0,52530.0,52730.0,280792.0,74076423200.0,234906.0,CU1803
2018-01-25,52890.0,54130.0,52790.0,53840.0,391388.0,104814466000.0,214644.0,CU1803
2018-01-26,53650.0,53860.0,53180.0,53430.0,225190.0,60305530500.0,217010.0,CU1803
2018-01-29,53400.0,53810.0,53120.0,53600.0,219076.0,58574538500.0,213290.0,CU1803
2018-01-30,53480.0,53600.0,52820.0,52970.0,238906.0,63630353700.0,203528.0,CU1803
2018-01-31,53140.0,53310.0,52890.0,53220.0,219558.0,58296772200.0,190878.0,CU1803
2018-02-01,53300.0,53380.0,52920.0,52980.0,165548.0,43992825400.0,180580.0,CU1803
2018-02-02,52960.0,53670.0,52820.0,53520.0,191514.0,50929952800.0,181386.0,CU1803
2018-02-05,53250.0,53320.0,52720.0,53040.0,200242.0,53091391900.0,183216.0,CU1803
2018-02-06,53060.0,53820.0,52580.0,52750.0,265798.0,70610897000.0,177728.0,CU1803
2018-02-07,52890.0,53150.0,52470.0,52710.0,187330.0,49545622600.0,176266.0,CU1803
2018-02-08,52520.0,52640.0,51610.0,51920.0,243836.0,63359663000.0,171850.0,CU1803
2018-02-09,52120.0,52210.0,51440.0,51560.0,258852.0,67055431600.0,234710.0,CU1804
2018-02-12,51330.0,51900.0,50920.0,51710.0,268694.0,69004742200.0,236352.0,CU1804
2018-02-13,51710.0,52300.0,51520.0,52140.0,179328.0,46524432200.0,240142.0,CU1804
2018-02-14,52380.0,52850.0,52230.0,52790.0,172660.0,45382154500.0,230544.0,CU1804
2018-02-22,53080.0,53090.0,52560.0,52750.0,96064.0,25350289800.0,224352.0,CU1804
2018-02-23,52880.0,53840.0,52840.0,53590.0,261144.0,69952053100.0,226444.0,CU1804
2018-02-26,53390.0,53750.0,53200.0,53600.0,220706.0,58963372300.0,226424.0,CU1804
2018-02-27,53490.0,53580.0,53100.0,53370.0,174578.0,46559591500.0,224336.0,CU1804
2018-02-28,53100.0,53160.0,52490.0,52590.0,238954.0,63020589800.0,220582.0,CU1804
2018-03-01,52600.0,52680.0,52120.0,52290.0,178432.0,46740022300.0,217728.0,CU1804
2018-03-02,52010.0,52500.0,51900.0,52320.0,189950.0,49617541700.0,211270.0,CU1804
2018-03-05,52200.0,52410.0,51850.0,51950.0,154444.0,40246027200.0,209918.0,CU1804
2018-03-06,51890.0,52520.0,51650.0,52420.0,142742.0,37182998300.0,211256.0,CU1804
2018-03-07,52850.0,52940.0,52420.0,52480.0,190386.0,50148988900.0,286536.0,CU1805
2018-03-08,52230.0,52450.0,51950.0,52020.0,197866.0,51670201400.0,288444.0,CU1805
2018-03-09,51820.0,51970.0,51080.0,51190.0,289024.0,74490082800.0,290898.0,CU1805
2018-03-12,51410.0,52560.0,51410.0,51960.0,308666.0,80316197200.0,291074.0,CU1805
2018-03-13,51950.0,52200.0,51710.0,51740.0,210318.0,54617933900.0,295518.0,CU1805
2018-03-14,52090.0,52480.0,51890.0,52330.0,223704.0,58336355100.0,289222.0,CU1805
2018-03-15,52600.0,52740.0,51980.0,52120.0,248478.0,65096936100.0,288960.0,CU1805
2018-03-16,51820.0,52300.0,51730.0,52120.0,205452.0,53371276000.0,285674.0,CU1805
2018-03-19,52110.0,52160.0,51160.0,51420.0,267984.0,69131756600.0,296332.0,CU1805
2018-03-20,51280.0,51650.0,51120.0,51440.0,222650.0,57185513200.0,295736.0,CU1805
2018-03-21,51280.0,51350.0,50470.0,50580.0,300280.0,76334853100.0,307212.0,CU1805
2018-03-22,50450.0,51440.0,50380.0,51240.0,311050.0,79316868200.0,300526.0,CU1805
2018-03-23,50970.0,51050.0,49660.0,50110.0,447988.0,112601195400.0,285658.0,CU1805
