date,open,high,low,close,volume,money,open_interest,symbol
2018-01-02,6293.0,6355.0,6266.6,6345.0,8880.0,11217410360.0,18840.0,IC1801
2018-01-03,6350.0,6411.4,6336.4,6388.2,8896.0,11348790760.0,18664.0,IC1801
2018-01-04,6375.0,6414.8,6375.0,6406.8,7374.0,9435132840.0,18100.0,IC1801
2018-01-05,6407.2,6429.2,6383.6,6400.8,7585.0,9716800000.0,17964.0,IC1801
2018-01-08,6400.8,6443.6,6378.6,6433.0,7945.0,10195577680.0,17838.0,IC1801
2018-01-09,6433.0,6437.6,6402.2,6435.0,7365.0,9457612320.0,17130.0,IC1801
2018-01-10,6427.0,6436.2,6360.0,6406.6,8377.0,10709147680.0,17019.0,IC1801
2018-01-11,6384.8,6443.0,6372.2,6423.2,8463.0,10846720440.0,16480.0,IC1801
2018-01-12,6419.8,6428.2,6372.8,6401.2,8205.0,10505557040.0,15211.0,IC1801
2018-01-15,6393.2,6396.0,6242.2,6273.0,9382.0,11850684400.0,14451.0,IC1801
2018-01-16,6261.2,6317.8,6261.2,6285.6,9437.0,11871699680.0,11651.0,IC1801
2018-01-17,6279.6,6299.2,6193.2,6250.0,10326.0,12904266760.0,8817.0,IC1801
2018-01-18,6252.0,6316.8,6246.2,6285.6,6976.0,8771201520.0,4475.0,IC1801
2018-01-19,6268.0,6304.2,6223.0,6232.0,8889.0,11137314960.0,15446.0,IC1802
2018-01-22,6234.8,6359.8,6200.8,6348.6,10788.0,13577432440.0,16348.0,IC1802
2018-01-23,6346.8,6377.0,6323.6,6345.8,8050.0,10218044240.0,16189.0,IC1802
2018-01-24,6350.0,6430.0,6326.6,6409.6,10524.0,13430338000.0,17308.0,IC1802
2018-01-25,6395.0,6449.6,6382.0,6387.0,9106.0,11691447240.0,16545.0,IC1802
2018-01-26,6387.0,6413.8,6377.0,6397.0,7311.0,9351343880.0,16182.0,IC1802
2018-01-29,6396.8,6430.4,6287.2,6312.2,9592.0,12188254920.0,16111.0,IC1802
2018-01-30,6307.8,6346.0,6291.4,6302.8,7853.0,9932585160.0,15163.0,IC1802
2018-01-31,6280.0,6285.0,6156.6,6186.6,9923.0,12323464400.0,15486.0,IC1802
2018-02-01,6189.8,6212.0,5961.4,5970.0,11166.0,13572511200.0,16135.0,IC1802
2018-02-02,5959.4,6018.6,5832.6,5986.2,11551.0,13756238000.0,15578.0,IC1802
2018-02-05,5930.0,6015.8,5916.4,5979.8,8507.0,10150531560.0,14444.0,IC1802
2018-02-06,5913.0,5933.2,5651.8,5686.8,12013.0,13985899360.0,15116.0,IC1802
