date,open,high,low,close,volume,money,open_interest,symbol
2018-01-02,4051.6,4105.0,4051.6,4104.0,14290.0,17501727960.0,24471.0,IF1801
2018-01-03,4107.8,4153.8,4097.2,4121.6,16132.0,19973344560.0,24465.0,IF1801
2018-01-04,4122.0,4146.6,4115.8,4135.8,13158.0,16298284380.0,24097.0,IF1801
2018-01-05,4138.4,4157.8,4125.2,4148.2,12629.0,15681952620.0,23720.0,IF1801
2018-01-08,4148.0,4173.0,4135.2,4163.8,13194.0,16445442060.0,24043.0,IF1801
2018-01-09,4162.2,4200.0,4157.0,4197.4,13392.0,16783524720.0,23372.0,IF1801
2018-01-10,4196.8,4215.0,4180.2,4212.2,14317.0,18022622700.0,23717.0,IF1801
2018-01-11,4206.0,4214.2,4190.0,4208.4,12802.0,16140479220.0,22539.0,IF1801
2018-01-12,4209.0,4232.0,4201.0,4229.0,13165.0,16655074620.0,22494.0,IF1801
2018-01-15,4233.0,4266.0,4217.0,4223.4,16457.0,20937187440.0,20405.0,IF1801
2018-01-16,4220.0,4269.2,4219.2,4269.2,15653.0,19937777460.0,17846.0,IF1801
2018-01-17,4273.2,4284.0,4240.0,4250.6,17051.0,21805721880.0,13150.0,IF1801
2018-01-18,4268.8,4294.0,4257.2,4280.0,11591.0,14870642700.0,6357.0,IF1801
2018-01-19,4293.4,4330.0,4290.2,4303.6,14861.0,19200253560.0,19272.0,IF1802
2018-01-22,4297.6,4355.0,4293.2,4354.8,14150.0,18350501280.0,19527.0,IF1802
2018-01-23,4362.0,4402.0,4359.6,4400.0,14938.0,19620667440.0,20205.0,IF1802
2018-01-24,4405.0,4414.0,4369.0,4404.6,15271.0,20143261320.0,20169.0,IF1802
2018-01-25,4401.8,4402.8,4358.2,4373.0,15135.0,19891864440.0,20215.0,IF1802
2018-01-26,4373.0,4426.0,4370.0,4397.8,14657.0,19328696820.0,19988.0,IF1802
2018-01-29,4412.8,4418.6,4300.0,4315.2,17973.0,23518338600.0,21003.0,IF1802
2018-01-30,4313.2,4324.0,4266.2,4267.6,14737.0,18992622180.0,20482.0,IF1802
