date,open,high,low,close,volume,money,open_interest,symbol
2018-01-02,9810.0,10095.0,9810.0,9955.0,816092.0,40761492000.0,576250.0,L1805
2018-01-03,9960.0,9995.0,9900.0,9975.0,294862.0,14668857000.0,547130.0,L1805
2018-01-04,10000.0,10035.0,9885.0,9990.0,398900.0,19892001600.0,539944.0,L1805
2018-01-05,9970.0,10015.0,9850.0,9975.0,442418.0,21991241400.0,536522.0,L1805
2018-01-08,9970.0,10025.0,9930.0,9960.0,256472.0,12789828000.0,527394.0,L1805
2018-01-09,9990.0,9995.0,9895.0,9930.0,221002.0,10979155500.0,530742.0,L1805
2018-01-10,9950.0,10110.0,9930.0,10020.0,500548.0,25113932600.0,536404.0,L1805
2018-01-11,10025.0,10110.0,10000.0,10085.0,337508.0,16966017500.0,564628.0,L1805
2018-01-12,10060.0,10165.0,10035.0,10150.0,419740.0,21208769400.0,616584.0,L1805
2018-01-15,10160.0,10180.0,10090.0,10115.0,266106.0,13470041600.0,588744.0,L1805
2018-01-16,10115.0,10145.0,9825.0,9875.0,608812.0,30309490100.0,506848.0,L1805
2018-01-17,9885.0,9910.0,9810.0,9820.0,215858.0,10639409600.0,475982.0,L1805
2018-01-18,9835.0,9880.0,9800.0,9825.0,189352.0,9319732700.0,466746.0,L1805
2018-01-19,9805.0,9895.0,9780.0,9865.0,253472.0,12459842600.0,474582.0,L1805
2018-01-22,9875.0,9940.0,9860.0,9890.0,203262.0,10059585400.0,477416.0,L1805
2018-01-23,9905.0,9970.0,9815.0,9965.0,321858.0,15932297400.0,501806.0,L1805
2018-01-24,9940.0,9990.0,9870.0,9890.0,334890.0,16611086800.0,482268.0,L1805
2018-01-25,9950.0,10050.0,9925.0,9945.0,364720.0,18214018800.0,480178.0,L1805
2018-01-26,9915.0,10030.0,9890.0,10010.0,271810.0,13546390000.0,490872.0,L1805
2018-01-29,10010.0,10065.0,9960.0,9965.0,226256.0,11315316000.0,467360.0,L1805
2018-01-30,9950.0,9985.0,9815.0,9840.0,323186.0,15998411600.0,467142.0,L1805
2018-01-31,9800.0,9840.0,9750.0,9795.0,255410.0,12507917200.0,442584.0,L1805
2018-02-01,9805.0,9835.0,9700.0,9720.0,243588.0,11873114000.0,429582.0,L1805
2018-02-02,9770.0,9775.0,9655.0,9660.0,200996.0,9766430800.0,427718.0,L1805
2018-02-05,9640.0,9730.0,9615.0,9715.0,249374.0,12066302200.0,427032.0,L1805
2018-02-06,9670.0,9705.0,9575.0,9610.0,281534.0,13566757600.0,411502.0,L1805
2018-02-07,9645.0,9665.0,9570.0,9585.0,196988.0,9468418000.0,420834.0,L1805
2018-02-08,9555.0,9600.0,9470.0,9555.0,336400.0,16045726600.0,408152.0,L1805
2018-02-09,9550.0,9595.0,9490.0,9510.0,221408.0,10566861800.0,396434.0,L1805
2018-02-12,9500.0,9530.0,9425.0,9440.0,225278.0,10680614600.0,408924.0,L1805
2018-02-13,9450.0,9465.0,9400.0,9420.0,127712.0,6022078600.0,385148.0,L1805
2018-02-14,9435.0,9545.0,9435.0,9535.0,185858.0,8837114200.0,379152.0,L1805
2018-02-22,9555.0,9630.0,9515.0,9520.0,181236.0,8674099400.0,382004.0,L1805
2018-02-23,9560.0,9605.0,9550.0,9590.0,173832.0,8325462100.0,394386.0,L1805
2018-02-26,9610.0,9665.0,9545.0,9565.0,265180.0,12730602800.0,410284.0,L1805
2018-02-27,9565.0,9590.0,9425.0,9485.0,343036.0,16293842800.0,431542.0,L1805
2018-02-28,9465.0,9525.0,9465.0,9485.0,187466.0,8901130700.0,424874.0,L1805
2018-03-01,9465.0,9705.0,9455.0,9680.0,497622.0,23900472400.0,462932.0,L1805
2018-03-02,9670.0,9670.0,9615.0,9625.0,218166.0,10517359400.0,436008.0,L1805
2018-03-05,9635.0,9675.0,9540.0,9540.0,289782.0,13908056200.0,428236.0,L1805
2018-03-06,9560.0,9580.0,9475.0,9535.0,328454.0,15653866600.0,421374.0,L1805
2018-03-07,9530.0,9545.0,9400.0,9470.0,388898.0,18411841400.0,404336.0,L1805
2018-03-08,9470.0,9485.0,9285.0,9305.0,353064.0,16563483600.0,437644.0,L1805
2018-03-09,9310.0,9360.0,9260.0,9305.0,281654.0,13119875200.0,403534.0,L1805
