date,open,high,low,close,volume,money,open_interest,symbol
2018-01-02,19180.0,19220.0,18880.0,19020.0,37084.0,3524594650.0,40980.0,PB1802
2018-01-03,19180.0,19390.0,19095.0,19310.0,59086.0,5687975300.0,42516.0,PB1802
2018-01-04,19365.0,19495.0,19205.0,19405.0,48210.0,4664712850.0,43036.0,PB1802
2018-01-05,19400.0,19565.0,19325.0,19480.0,41500.0,4027288100.0,42652.0,PB1802
2018-01-08,19425.0,19590.0,19345.0,19405.0,47440.0,4612491850.0,41510.0,PB1802
2018-01-09,19395.0,19650.0,19320.0,19620.0,40624.0,3964236350.0,40288.0,PB1802
2018-01-10,19570.0,19685.0,19350.0,19415.0,38552.0,3759125600.0,36732.0,PB1802
2018-01-11,19490.0,19515.0,19325.0,19390.0,25206.0,2445798350.0,34752.0,PB1802
2018-01-12,19490.0,19490.0,19180.0,19250.0,33314.0,3211866500.0,31034.0,PB1802
2018-01-15,19120.0,19210.0,19005.0,19185.0,35774.0,3419895450.0,29650.0,PB1802
2018-01-16,19155.0,19205.0,18745.0,18820.0,39234.0,3732018900.0,24766.0,PB1802
2018-01-17,18790.0,19195.0,18775.0,19135.0,33404.0,3179957850.0,21428.0,PB1802
2018-01-18,19195.0,19340.0,19080.0,19330.0,46984.0,4515436100.0,37432.0,PB1803
2018-01-19,19400.0,19595.0,19355.0,19570.0,60022.0,5842815100.0,42956.0,PB1803
2018-01-22,19575.0,19575.0,19305.0,19480.0,53950.0,5242721900.0,40976.0,PB1803
2018-01-23,19490.0,19815.0,19425.0,19800.0,67798.0,6638607250.0,49846.0,PB1803
2018-01-24,19740.0,19780.0,19560.0,19575.0,48702.0,4794823850.0,47512.0,PB1803
2018-01-25,19620.0,19890.0,19545.0,19650.0,70204.0,6906388550.0,45326.0,PB1803
2018-01-26,19540.0,19630.0,19395.0,19470.0,53436.0,5210882900.0,43418.0,PB1803
2018-01-29,19545.0,19895.0,19450.0,19800.0,62010.0,6102778200.0,46400.0,PB1803
2018-01-30,19840.0,19840.0,19455.0,19540.0,61692.0,6046452450.0,42068.0,PB1803
2018-01-31,19650.0,19650.0,19350.0,19400.0,46324.0,4508845850.0,40366.0,PB1803
2018-02-01,19465.0,19645.0,19380.0,19570.0,44964.0,4385037900.0,40732.0,PB1803
2018-02-02,19655.0,19785.0,19595.0,19660.0,46992.0,4626499100.0,41554.0,PB1803
2018-02-05,19595.0,19780.0,19505.0,19535.0,46904.0,4595628950.0,40176.0,PB1803
2018-02-06,19470.0,19640.0,19405.0,19465.0,35882.0,3497980200.0,37682.0,PB1803
2018-02-07,19380.0,19415.0,19150.0,19200.0,48456.0,4670887850.0,35130.0,PB1803
2018-02-08,19125.0,19255.0,19015.0,19080.0,46594.0,4452988400.0,31164.0,PB1803
2018-02-09,19130.0,19195.0,18975.0,19040.0,43106.0,4112434350.0,28964.0,PB1803
2018-02-12,19165.0,19185.0,19010.0,19030.0,41788.0,3990362150.0,27582.0,PB1803
2018-02-13,19025.0,19040.0,18905.0,19015.0,26628.0,2526617350.0,24208.0,PB1803
2018-02-14,19035.0,19345.0,18980.0,19320.0,26280.0,2522105150.0,20494.0,PB1803
