date,open,high,low,close,volume,money,open_interest,symbol
2018-01-02,9344.0,9560.0,9300.0,9493.0,675036.0,32020897200.0,548540.0,PP1805
2018-01-03,9515.0,9515.0,9454.0,9490.0,280648.0,13311304800.0,516452.0,PP1805
2018-01-04,9522.0,9565.0,9430.0,9524.0,389460.0,18509064400.0,516480.0,PP1805
2018-01-05,9509.0,9554.0,9441.0,9508.0,396494.0,18832421700.0,514038.0,PP1805
2018-01-08,9465.0,9604.0,9465.0,9529.0,378628.0,18082109800.0,520284.0,PP1805
2018-01-09,9568.0,9575.0,9455.0,9499.0,305640.0,14516008000.0,507380.0,PP1805
2018-01-10,9486.0,9645.0,9480.0,9588.0,466632.0,22357565400.0,541026.0,PP1805
2018-01-11,9605.0,9640.0,9562.0,9632.0,287540.0,13802653900.0,549096.0,PP1805
2018-01-12,9610.0,9683.0,9592.0,9679.0,355290.0,17122298800.0,586786.0,PP1805
2018-01-15,9680.0,9695.0,9606.0,9664.0,319842.0,15436343600.0,562106.0,PP1805
2018-01-16,9671.0,9679.0,9381.0,9416.0,601486.0,28609219000.0,531310.0,PP1805
2018-01-17,9415.0,9448.0,9350.0,9380.0,278838.0,13111634200.0,477216.0,PP1805
2018-01-18,9395.0,9468.0,9383.0,9400.0,264886.0,12480282300.0,484226.0,PP1805
2018-01-19,9357.0,9509.0,9315.0,9468.0,381238.0,17948647300.0,492352.0,PP1805
2018-01-22,9480.0,9518.0,9443.0,9456.0,250900.0,11890860200.0,484250.0,PP1805
2018-01-23,9467.0,9550.0,9385.0,9537.0,427482.0,20262055400.0,528870.0,PP1805
2018-01-24,9542.0,9562.0,9480.0,9497.0,319956.0,15221054400.0,507678.0,PP1805
2018-01-25,9552.0,9626.0,9530.0,9543.0,408194.0,19542557900.0,533032.0,PP1805
2018-01-26,9503.0,9646.0,9492.0,9596.0,398884.0,19066017800.0,550156.0,PP1805
2018-01-29,9582.0,9668.0,9545.0,9564.0,318274.0,15270078300.0,551616.0,PP1805
2018-01-30,9530.0,9600.0,9470.0,9489.0,449708.0,21434909700.0,536356.0,PP1805
2018-01-31,9454.0,9520.0,9442.0,9512.0,317800.0,15064906900.0,533148.0,PP1805
2018-02-01,9518.0,9528.0,9402.0,9408.0,348798.0,16478803100.0,529374.0,PP1805
2018-02-02,9450.0,9460.0,9360.0,9375.0,256816.0,12097624600.0,513962.0,PP1805
2018-02-05,9336.0,9500.0,9336.0,9500.0,337956.0,15926410800.0,535404.0,PP1805
2018-02-06,9461.0,9489.0,9390.0,9416.0,350276.0,16527283500.0,504170.0,PP1805
2018-02-07,9450.0,9473.0,9288.0,9306.0,450102.0,21074376100.0,539000.0,PP1805
2018-02-08,9264.0,9297.0,9187.0,9239.0,392830.0,18139060900.0,533450.0,PP1805
2018-02-09,9219.0,9267.0,9205.0,9238.0,237382.0,10955519400.0,520366.0,PP1805
2018-02-12,9239.0,9257.0,9161.0,9203.0,317312.0,14615251100.0,527150.0,PP1805
2018-02-13,9218.0,9218.0,9150.0,9204.0,180666.0,8295279400.0,492132.0,PP1805
2018-02-14,9210.0,9375.0,9207.0,9326.0,308776.0,14374884700.0,465374.0,PP1805
2018-02-22,9373.0,9395.0,9264.0,9282.0,208774.0,9725070700.0,464306.0,PP1805
2018-02-23,9328.0,9336.0,9280.0,9304.0,241936.0,11263303400.0,483770.0,PP1805
2018-02-26,9328.0,9395.0,9210.0,9210.0,451562.0,20952757300.0,526832.0,PP1805
2018-02-27,9210.0,9238.0,9115.0,9174.0,383254.0,17581325300.0,516680.0,PP1805
2018-02-28,9170.0,9196.0,9142.0,9149.0,241040.0,11049887000.0,508156.0,PP1805
2018-03-01,9129.0,9302.0,9097.0,9272.0,505484.0,23295748600.0,509836.0,PP1805
2018-03-02,9264.0,9284.0,9204.0,9262.0,269974.0,12479623600.0,465750.0,PP1805
2018-03-05,9262.0,9294.0,9161.0,9172.0,321566.0,14820015700.0,484508.0,PP1805
2018-03-06,9200.0,9251.0,9157.0,9227.0,311564.0,14338623100.0,445948.0,PP1805
2018-03-07,9200.0,9229.0,9114.0,9150.0,375912.0,17219208500.0,458360.0,PP1805
2018-03-08,9160.0,9160.0,8956.0,8970.0,481658.0,21793931500.0,457276.0,PP1805
2018-03-09,8970.0,9018.0,8942.0,8982.0,282568.0,12701078300.0,436654.0,PP1805
2018-03-12,9030.0,9050.0,8851.0,8889.0,396998.0,17719346000.0,457028.0,PP1805
2018-03-13,8882.0,8919.0,8860.0,8882.0,193506.0,8601406800.0,426618.0,PP1805
2018-03-14,8909.0,8986.0,8840.0,8931.0,360530.0,16085866400.0,404244.0,PP1805
2018-03-15,8911.0,8973.0,8867.0,8890.0,284398.0,12678114100.0,412496.0,PP1805
2018-03-16,8888.0,8900.0,8745.0,8758.0,426120.0,18741183600.0,458116.0,PP1805
2018-03-19,8760.0,8815.0,8732.0,8757.0,339602.0,14893762100.0,452004.0,PP1805
2018-03-20,8750.0,8757.0,8605.0,8706.0,410838.0,17802094500.0,462610.0,PP1805
2018-03-21,8720.0,8752.0,8667.0,8697.0,238880.0,10409142300.0,444822.0,PP1805
2018-03-22,8750.0,8820.0,8740.0,8752.0,279754.0,12277821400.0,431692.0,PP1805
2018-03-23,8698.0,8698.0,8431.0,8525.0,463556.0,19806155400.0,405064.0,PP1805
2018-03-26,8575.0,8598.0,8501.0,8512.0,247092.0,10543411700.0,402426.0,PP1805
2018-03-27,8517.0,8640.0,8515.0,8609.0,262914.0,11278021500.0,379814.0,PP1805
2018-03-28,8580.0,8648.0,8512.0,8543.0,280848.0,12049086000.0,376344.0,PP1805
2018-03-29,8540.0,8716.0,8531.0,8688.0,291346.0,12561223000.0,357058.0,PP1805
2018-03-30,8688.0,8744.0,8660.0,8714.0,240244.0,10452751600.0,346428.0,PP1805
2018-04-02,8750.0,8876.0,8697.0,8843.0,357092.0,15680557000.0,288226.0,PP1805
2018-04-03,8819.0,8831.0,8771.0,8819.0,208180.0,9162587800.0,281344.0,PP1805
2018-04-04,8820.0,8893.0,8709.0,8816.0,306764.0,13481143400.0,251900.0,PP1805
2018-04-09,8840.0,8973.0,8835.0,8948.0,238596.0,10631212400.0,225566.0,PP1805
2018-04-10,8960.0,9033.0,8916.0,9014.0,174368.0,7815559500.0,191054.0,PP1805
2018-04-11,9140.0,9160.0,9023.0,9045.0,269890.0,12245112500.0,329278.0,PP1809
2018-04-12,9068.0,9094.0,8966.0,9038.0,341364.0,15415527200.0,339840.0,PP1809
2018-04-13,9041.0,9068.0,8949.0,9008.0,317832.0,14310531500.0,337878.0,PP1809
2018-04-16,9005.0,9102.0,8918.0,8942.0,516986.0,23276771800.0,369114.0,PP1809
2018-04-17,8936.0,8972.0,8901.0,8939.0,253758.0,11341293200.0,360422.0,PP1809
2018-04-18,9000.0,9048.0,8931.0,8955.0,325644.0,14630927200.0,363856.0,PP1809
2018-04-19,9047.0,9060.0,8950.0,9026.0,375142.0,16902552300.0,370460.0,PP1809
2018-04-20,9010.0,9033.0,8805.0,8805.0,480000.0,21411321900.0,388798.0,PP1809
2018-04-23,8820.0,8868.0,8780.0,8840.0,310170.0,13706266000.0,371942.0,PP1809
2018-04-24,8855.0,8888.0,8824.0,8855.0,261116.0,11566130800.0,381632.0,PP1809
2018-04-25,8820.0,8955.0,8790.0,8944.0,425542.0,18927999200.0,373408.0,PP1809
2018-04-26,8940.0,8998.0,8921.0,8930.0,249084.0,11150956200.0,350150.0,PP1809
2018-04-27,8950.0,9000.0,8927.0,8972.0,223648.0,10026055900.0,351954.0,PP1809
2018-05-02,8970.0,9187.0,8967.0,9185.0,441450.0,20165260700.0,400714.0,PP1809
2018-05-03,9200.0,9219.0,9166.0,9199.0,263958.0,12132307000.0,404806.0,PP1809
2018-05-04,9220.0,9287.0,9186.0,9283.0,268944.0,12418673200.0,427338.0,PP1809
2018-05-07,9299.0,9321.0,9234.0,9277.0,236126.0,10949388300.0,426274.0,PP1809
2018-05-08,9271.0,9280.0,9185.0,9253.0,220900.0,10198736900.0,422348.0,PP1809
2018-05-09,9233.0,9346.0,9200.0,9222.0,323450.0,14974884500.0,424488.0,PP1809
2018-05-10,9259.0,9295.0,9215.0,9276.0,263262.0,12182891500.0,427606.0,PP1809
2018-05-11,9277.0,9307.0,9210.0,9263.0,288426.0,13352969000.0,423084.0,PP1809
2018-05-14,9285.0,9380.0,9168.0,9188.0,453900.0,21050613200.0,434316.0,PP1809
2018-05-15,9229.0,9240.0,9160.0,9220.0,229882.0,10587389100.0,409818.0,PP1809
2018-05-16,9250.0,9340.0,9220.0,9274.0,400636.0,18595737100.0,449588.0,PP1809
2018-05-17,9296.0,9315.0,9205.0,9235.0,339870.0,15751221200.0,440854.0,PP1809
2018-05-18,9255.0,9280.0,9125.0,9233.0,310368.0,14288701000.0,418760.0,PP1809
2018-05-21,9238.0,9415.0,9211.0,9308.0,476304.0,22204351500.0,458530.0,PP1809
2018-05-22,9322.0,9358.0,9270.0,9308.0,213120.0,9914062600.0,442180.0,PP1809
2018-05-23,9308.0,9308.0,9188.0,9227.0,246038.0,11361547400.0,427364.0,PP1809
2018-05-24,9222.0,9239.0,9162.0,9196.0,202514.0,9312860000.0,430460.0,PP1809
2018-05-25,9214.0,9255.0,9092.0,9121.0,396924.0,18206292800.0,424614.0,PP1809
