date,open,high,low,close,volume,money,open_interest,symbol
2018-01-02,605.0,614.0,601.0,612.8,144026.0,8749129100.0,220868.0,ZC1805
2018-01-03,612.6,617.6,609.2,613.2,143366.0,8807296700.0,218466.0,ZC1805
2018-01-04,614.2,626.4,614.2,624.0,218634.0,13571772900.0,231854.0,ZC1805
2018-01-05,626.6,630.8,624.8,628.2,184480.0,11584192700.0,237872.0,ZC1805
2018-01-08,628.0,634.0,623.2,632.6,224908.0,14150608300.0,246018.0,ZC1805
2018-01-09,633.8,634.0,627.6,630.6,96174.0,6060903000.0,235130.0,ZC1805
2018-01-10,630.8,639.2,629.6,637.4,197108.0,12517691500.0,261632.0,ZC1805
2018-01-11,638.4,640.8,632.0,636.0,156026.0,9924140900.0,250776.0,ZC1805
2018-01-12,635.0,636.2,631.2,632.0,129300.0,8194797200.0,255462.0,ZC1805
2018-01-15,632.4,635.6,625.6,629.8,179846.0,11337184800.0,245838.0,ZC1805
2018-01-16,630.2,638.6,629.4,633.4,236084.0,14977838000.0,262326.0,ZC1805
2018-01-17,633.8,637.2,630.2,635.6,213912.0,13564007000.0,271168.0,ZC1805
2018-01-18,635.8,650.0,635.4,646.2,334816.0,21585472200.0,317400.0,ZC1805
2018-01-19,647.4,649.2,641.8,646.0,276340.0,17819901200.0,320036.0,ZC1805
2018-01-22,646.0,656.6,643.4,655.6,316176.0,20587888600.0,367190.0,ZC1805
2018-01-23,656.8,658.0,653.4,656.8,235040.0,15408650300.0,381946.0,ZC1805
2018-01-24,656.6,665.2,654.0,665.0,264780.0,17461099700.0,415114.0,ZC1805
2018-01-25,665.4,673.4,664.2,668.4,356396.0,23834800900.0,427906.0,ZC1805
2018-01-26,668.8,674.2,665.6,673.0,242610.0,16248926000.0,452402.0,ZC1805
2018-01-29,673.0,679.8,670.4,678.8,280740.0,18978093800.0,480394.0,ZC1805
2018-01-30,678.0,678.6,662.2,666.8,470612.0,31444820900.0,438638.0,ZC1805
2018-01-31,667.2,670.6,659.6,664.4,326990.0,21736834600.0,430120.0,ZC1805
2018-02-01,663.2,667.6,661.8,666.0,214356.0,14245970300.0,446662.0,ZC1805
2018-02-02,667.2,673.8,657.4,660.4,451708.0,30133296500.0,433620.0,ZC1805
2018-02-05,661.0,665.4,655.0,664.2,367664.0,24283359100.0,420388.0,ZC1805
2018-02-06,662.6,664.4,656.0,657.4,297166.0,19607930400.0,395512.0,ZC1805
2018-02-07,657.0,661.2,650.8,653.6,243960.0,16018047600.0,369650.0,ZC1805
2018-02-08,652.6,654.6,645.0,646.4,263440.0,17102415800.0,351126.0,ZC1805
2018-02-09,646.0,654.4,646.0,648.4,290456.0,18908992700.0,328858.0,ZC1805
2018-02-12,647.0,649.4,633.8,634.4,355096.0,22764834900.0,314148.0,ZC1805
2018-02-13,635.8,638.6,631.6,636.0,216884.0,13768301000.0,302928.0,ZC1805
2018-02-14,636.8,645.6,635.2,643.2,184648.0,11843234200.0,288402.0,ZC1805
2018-02-22,641.2,655.8,640.8,655.0,198224.0,12890327500.0,314810.0,ZC1805
2018-02-23,654.0,656.6,645.6,651.2,290028.0,18867824600.0,338012.0,ZC1805
2018-02-26,650.2,652.2,636.4,641.6,324970.0,20916234600.0,342590.0,ZC1805
2018-02-27,640.0,642.8,638.2,640.2,193430.0,12388448200.0,340708.0,ZC1805
2018-02-28,638.2,642.2,634.6,636.6,257904.0,16451394600.0,349188.0,ZC1805
2018-03-01,634.6,638.0,626.6,632.8,282866.0,17918902600.0,362624.0,ZC1805
2018-03-02,632.0,634.4,629.0,632.4,183294.0,11580389200.0,353222.0,ZC1805
2018-03-05,632.2,635.0,623.0,624.2,301962.0,18967028400.0,372268.0,ZC1805
2018-03-06,624.8,626.6,620.0,621.6,212534.0,13253552100.0,366760.0,ZC1805
2018-03-07,622.6,623.4,618.6,620.4,178986.0,11104555800.0,378100.0,ZC1805
2018-03-08,620.0,624.6,615.0,622.4,280204.0,17429490600.0,389600.0,ZC1805
2018-03-09,621.0,624.8,611.6,613.4,359198.0,22235415800.0,380894.0,ZC1805
2018-03-12,614.0,616.0,607.0,607.6,246548.0,15068942900.0,383480.0,ZC1805
2018-03-13,608.0,610.4,605.2,607.4,165950.0,10083766200.0,387268.0,ZC1805
2018-03-14,607.2,615.4,606.2,610.0,224230.0,13674452000.0,381396.0,ZC1805
2018-03-15,609.6,614.2,608.0,612.4,195626.0,11959663600.0,373264.0,ZC1805
2018-03-16,613.4,613.6,608.6,610.0,153146.0,9356248100.0,369530.0,ZC1805
2018-03-19,610.2,611.6,597.8,599.6,303170.0,18296142800.0,366860.0,ZC1805
2018-03-20,599.0,600.2,587.8,591.4,293684.0,17422808200.0,356214.0,ZC1805
2018-03-21,591.6,595.4,584.6,587.4,244482.0,14434121300.0,352042.0,ZC1805
2018-03-22,588.6,591.8,586.2,586.6,172906.0,10178754600.0,349486.0,ZC1805
2018-03-23,585.6,586.2,562.2,574.2,462962.0,26691747900.0,318878.0,ZC1805
2018-03-26,576.4,597.8,575.0,584.4,496698.0,29153644000.0,292870.0,ZC1805
2018-03-27,581.6,588.2,575.2,580.8,292612.0,16986248700.0,294528.0,ZC1805
2018-03-28,582.8,582.8,571.6,575.4,234504.0,13495183400.0,285474.0,ZC1805
2018-03-29,574.6,577.8,570.2,577.2,177912.0,10208399400.0,276456.0,ZC1805
2018-03-30,578.4,582.2,575.2,579.6,155964.0,9015530400.0,267798.0,ZC1805
2018-04-02,577.2,584.4,563.6,571.6,371124.0,21289561300.0,272060.0,ZC1805
2018-04-03,569.4,570.8,562.0,564.2,211910.0,11996258200.0,270760.0,ZC1805
2018-04-04,562.2,567.8,562.2,563.6,142146.0,8035194100.0,253416.0,ZC1805
2018-04-09,560.2,562.0,554.4,561.8,113930.0,6367498600.0,243532.0,ZC1805
2018-04-10,560.2,564.4,558.2,558.6,136592.0,7677755600.0,244770.0,ZC1805
2018-04-11,559.6,560.6,555.4,556.8,147548.0,8230014000.0,219214.0,ZC1805
2018-04-12,557.2,560.0,555.6,557.8,111284.0,6203550800.0,186134.0,ZC1805
2018-04-13,555.8,558.0,549.4,556.4,245428.0,13593422600.0,255966.0,ZC1809
2018-04-16,559.6,578.8,558.0,570.0,522468.0,29787641600.0,259472.0,ZC1809
2018-04-17,571.4,588.4,570.2,585.8,429520.0,24933563400.0,283668.0,ZC1809
2018-04-18,586.6,594.2,585.0,591.8,330158.0,19466075900.0,290068.0,ZC1809
2018-04-19,593.4,595.6,584.4,591.6,412340.0,24294222000.0,293314.0,ZC1809
2018-04-20,590.2,591.6,585.6,587.6,253452.0,14909824600.0,293942.0,ZC1809
2018-04-23,588.0,605.8,581.4,603.6,445776.0,26422983600.0,319676.0,ZC1809
2018-04-24,600.0,607.6,598.6,604.8,315482.0,19050485100.0,322296.0,ZC1809
2018-04-25,599.6,603.0,591.0,593.6,436224.0,25991301600.0,324464.0,ZC1809
2018-04-26,592.2,599.6,589.2,593.8,324290.0,19234329900.0,312030.0,ZC1809
2018-04-27,593.0,600.6,591.6,597.6,289276.0,17240384400.0,303266.0,ZC1809
2018-05-02,596.2,598.2,588.0,596.6,184470.0,10940544400.0,303012.0,ZC1809
2018-05-03,593.6,599.0,592.2,594.4,224934.0,13387228400.0,317432.0,ZC1809
2018-05-04,596.0,604.4,593.0,602.4,354362.0,21227956800.0,350902.0,ZC1809
2018-05-07,601.8,616.8,601.4,613.2,429510.0,26213907100.0,375656.0,ZC1809
2018-05-08,614.0,615.2,606.8,607.2,336994.0,20581813600.0,371172.0,ZC1809
2018-05-09,605.2,606.6,599.0,600.2,328930.0,19837823100.0,350126.0,ZC1809
2018-05-10,601.0,612.6,600.4,611.8,309264.0,18768867400.0,364320.0,ZC1809
2018-05-11,614.0,620.6,609.2,620.2,347878.0,21393902200.0,390322.0,ZC1809
2018-05-14,622.0,632.0,619.0,629.8,372146.0,23273789600.0,402292.0,ZC1809
2018-05-15,631.2,638.2,623.6,632.6,624536.0,39440532800.0,387266.0,ZC1809
2018-05-16,631.8,643.0,627.0,638.4,510932.0,32421288600.0,393860.0,ZC1809
2018-05-17,636.4,638.2,632.0,634.8,335400.0,21287550800.0,391084.0,ZC1809
2018-05-18,634.2,637.8,627.0,630.4,428206.0,27032810200.0,407960.0,ZC1809
2018-05-21,623.0,626.4,612.2,619.6,599250.0,37036677300.0,406406.0,ZC1809
2018-05-22,619.0,621.0,610.0,610.2,438076.0,27002771700.0,400336.0,ZC1809
2018-05-23,605.0,607.8,585.4,585.4,846110.0,50228092800.0,412712.0,ZC1809
2018-05-24,586.0,597.0,584.0,591.8,641654.0,37834235800.0,369004.0,ZC1809
2018-05-25,590.0,596.6,588.0,589.8,409276.0,24252771500.0,376218.0,ZC1809
2018-05-28,588.2,612.6,586.8,611.8,735292.0,44249833000.0,391134.0,ZC1809
2018-05-29,611.6,631.0,611.0,623.6,955874.0,59422021200.0,380730.0,ZC1809
